ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes
98,set012-3-04-2020-B4_98.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2145.63,0,3/4/20,8:54:00,9:25:00,1860,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.04,N,25.2275238,-80.3283788,,6.23,2.97,7.76,10.83,L,
111,set013-3-05-2020-A1_111.txt,T2,A-1,A,1,13,0,0,0,0,0,0,2021.87,0,3/5/20,14:07:00,14:40:00,1980,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.085,Y,25.1000151,-80.437522,171,8.45,3.65,9.24,13.04,L,
143,set013-3-05-2020-A1_143.txt,T2,A-1,A,1,13,0.18308047,18206.93,3148.4113,68.86,15461.29,0.683490783,26638.15,0.436319444,3/5/20,14:41:00,20:01:01,19201,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.035,N,25.2275238,-80.3283788,,5.78,2.83,7.38,10.46,L,
22,set013-3-05-2020-A1_22.txt,T2,A-1,A,1,13,0.525783452,1064.08,22.6188,0,1006.57,0.477673581,2227.63,1.231960784,3/5/20,9:48:00,10:22:00,2040,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.046,N,25.2734885,-80.3040957,,5.75,2.94,8.3,11.4,L,
236,set013-3-05-2020-A1_236.txt,T2,A-1,A,1,13,0.58124878,218.37,125.0317,65.96,144.9,0.033889493,6443.59,0.661368421,3/5/20,11:01:00,11:38:00,2220,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.042,N,25.1755702,-80.36780089,,6.17,2.61,8.01,10.53,L,thorax torn on one side
315,set013-3-05-2020-A1_315.txt,T2,A-1,A,1,13,0.445514573,6.69,5.6547,0,6.69,0.003008432,2223.75,0.560982143,3/5/20,9:11:00,9:46:00,2100,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.035,N,25.1000151,-80.437522,,5.37,3.08,8.01,10.8,L,
359,set013-3-05-2020-A1_359.txt,T2,A-1,A,1,13,0.304894527,1516.64,5.6547,0,1491.43,0.670204821,2262.95,0.347127072,3/5/20,13:29:00,14:05:00,2160,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.031,N,25.1820931,-80.3631938,,5.52,2.64,7.17,9.95,L,
4,set013-3-05-2020-A1_4.txt,T2,A-1,A,1,13,0,0,0.6283,0,0,0,2429.67,0,3/5/20,12:49:00,13:25:00,2160,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,,0.044,N,24.9735748,-80.5539224,,6.21,2.97,7.87,10.9,L,
419,set013-3-05-2020-A1_419.txt,T2,A-1,A,1,13,0.389936136,1732.56,16.9641,106.56,1427.74,0.793416588,2183.67,0.795316456,3/5/20,10:25:00,11:00:00,2100,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.041,N,25.1820931,-80.3631938,,6.09,3.08,8.05,11.21,L,wings torn at the end
424,set013-3-05-2020-A1_424.txt,T2,A-1,A,1,13,0,0,1.2566,0,0,0,2262.63,0,3/5/20,8:34:00,9:09:00,2100,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.09,Y,25.19515,-80.345916,39,7.32,3.05,8.34,11.68,L,
