ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,days_from_start,time_start,sex,population,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,lon+N:AEgitude,trial_type,days_from_start
405,set006-10-16-19-A3.txt,3,A,A-3,6,0,0,0,0,0,0,1800,0,Petri2,10.16,1,11:00,F,Gainesville,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,T30,
113,set006-10-16-19-A4.txt,4,A,A-4,6,0.24923897,1737.1,427.8723,0,1737.1,0.965055556,1800,0.349055556,A,10.16,1,11:00,M,Homestead,K. elegans,Y,,C,continous,,,,,,25.491968,-80.48562,T30,
47,set006-10-16-19-B1.txt,1,B,B-1,6,0,0,0,0,0,0,1800,0,B,10.16,1,11:00,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,
254,set006-10-16-19-B2.txt,2,B,B-2,6,0,0,0,0,0,0,1800,0,E,10.16,1,11:00,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
257,set006-10-16-19-B3.txt,3,B,B-3,6,0.182400781,1336.8,5.6547,283.1,615.5,0.742666667,1800,0.232703704,Petri2,10.16,1,11:00,M,North Key Largo,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075,T30,
15,set006-10-16-19-B4.txt,4,B,B-4,6,0.216655172,0,1.8849,0,0,0,1800,0,A,10.16,1,11:00,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,
253,set007-10-16-19-A1.txt,1,A,A-1,7,0.185879567,1586,14.4509,0,1449.9,0.881111111,1800,0.3926875,E,10.16,1,11:50,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,T30,
373,set007-10-16-19-A2.txt,2,A,A-2,7,0,0,0,0,0,0,1800,0,Petri2,10.16,1,11:50,M,Leesburg,K. elegans,N,Y,,,,,,,,28.81298,-81.877895,T30,
31,set007-10-16-19-A3.txt,3,A,A-3,7,0,0,0,0,0,0,1800,0,A,10.16,1,11:50,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,
223,set007-10-16-19-A4.txt,4,A,A-4,7,0.218057953,1792.3,376.98,0,1792.3,0.995722222,1800,0.3926875,E,10.16,1,11:50,F,North Key Largo,C. corindum ,Y,,C,continuous,,,,,,25.25647566,-80.31068981,T30,
139,set008-10-16-19-A1.txt,1,A,A-1,8,0.245118857,192.4,8.7962,131.3,131.3,0.106888889,1800,0.448785714,Petri1,10.16,1,12:25,F,Lake Wales,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,T30,
53,set008-10-16-19-A2.txt,2,A,A-2,8,0,0,0,0,0,0,1800,0,B,10.16,1,12:25,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,
407,set008-10-16-19-A3.txt,3,A,A-3,8,0,0,0,0,0,0,1800,0,D,10.16,1,12:25,M,Gainesville,K. elegans,N,,,,,,,,,29.661821,-82.347211,T30,
326,set008-10-16-19-A4.txt,4,A,A-4,8,0.160617452,73.5,12.566,0,34.2,0.040833333,1800,0.232703704,C,10.16,1,12:25,M,Lake Placid,K. elegans,Y,,B,,paint came off at 80%,,,,,27.29866003,-81.36611608,T30,
191,set008-10-16-19-B1.txt,1,B,B-1,8,0,0,0,0,0,0,1800,0,E,10.16,1,12:25,M,North Key Largo,C. corindum ,N,Y,,,,,,,,25.18229498,-80.36369887,T30,
310,set008-10-16-19-B2.txt,2,B,B-2,8,0.301276691,977.8,7.5396,0,971.5,0.543222222,1800,0.6283,C,10.16,1,12:25,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,
299,set008-10-16-19-B3.txt,3,B,B-3,8,0.214509688,487.5,3.7698,0,483.9,0.270833333,1800,0.299190476,Petri2,10.16,1,12:25,M,Lake Placid,K. elegans,Y,,B,,,,,,,27.29866003,-81.36611608,T30,
334,set009-10-17-19-A1.txt,1,A,A-1,9,0.177136789,7.7,4.3981,0,4.3,0.004277778,1800,0.224392857,D,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,B,,paint came off at end,,,,,27.29866003,-81.36611608,T30,
198,set009-10-17-19-A2.txt,2,A,A-2,9,0,0,0,0,0,0,1800,0,E,10.17,2,9:40,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,
295,set009-10-17-19-A3.txt,3,A,A-3,9,0.4333699,1714.4,732.5978,0,1711.1,0.952444444,1800,0.571181818,Petri2,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,
424,set009-10-17-19-A4.txt,4,A,A-4,9,0,0,0,0,0,0,1800,0,D,10.17,2,9:40,M,Gainesville,K. elegans,N,Y,,,,,,,,29.661821,-82.347211,T30,
203,set009-10-17-19-B1.txt,1,B,B-1,9,0,0,0,0,0,0,1800,0,E,10.17,2,9:40,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,
131,set009-10-17-19-B2.txt,2,B,B-2,9,0,0,0.6283,0,0,0,1800,0,B,10.17,2,9:40,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,
98,set009-10-17-19-B3.txt,3,B,B-3,9,0,0,0,0,0,0,1800,0,Petri1,10.17,2,9:40,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,
300,set009-10-17-19-B4.txt,4,B,B-4,9,0.465380208,56.3,4.3981,0,48.7,0.031277778,1800,0.897571429,C,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,B,,paint came off at end,,,,,27.29866003,-81.36611608,T30,
279,set010-10-17-19-A1.txt,1,A,A-1,10,0.3655921,1305.9,300.3274,107.8,600.9,0.7255,1800,0.523583333,C,10.17,2,10:30,M,North Key Largo,C. corindum ,Y,,C,,,,,,,25.28636983,-80.29077075,T30,
318,set010-10-17-19-A2.txt,2,A,A-2,10,0.129051382,326.6,33.9282,110.9,155.2,0.181444444,1800,0.232703704,C,10.17,2,10:30,M,Lake Placid,K. elegans,Y,,B,bursts,,,,,,27.29866003,-81.36611608,T30,
17,set010-10-17-19-A3.txt,3,A,A-3,10,0.285590909,0,1.8849,0,0,0,1800,0,A,10.17,2,10:30,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,
285,set010-10-17-19-A4.txt,4,A,A-4,10,0.58903125,0,1.8849,0,0,0,1800,0.785375,Petri2,10.17,2,10:30,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,T30,
332,set012-10-17-19-A1.txt,1,A,A-1,12,0.332528901,1796.9,574.2662,0,1796.9,0.998277778,1800,0.571181818,C,10.17,2,12:20,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,
149,set012-10-17-19-A2.txt,2,A,A-2,12,0,0,0.6283,0,0,0,1800,0,D,10.17,2,12:20,F,Lake Wales,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,T30,
226,set012-10-17-19-A3.txt,3,A,A-3,12,0.26007891,540.6,6.9113,0,532.3,0.300333333,1800,0.349055556,E,10.17,2,12:20,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.25647566,-80.31068981,T30,
287,set012-10-17-19-A4.txt,4,A,A-4,12,0,0,0.6283,0,0,0,1800,0,Petri2,10.17,2,12:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
386,set012-10-17-19-B1.txt,1,B,B-1,12,0,0,0,0,0,0,1800,0,D,10.17,2,12:20,M,Leesburg,K. elegans,N,Y,,,,,,,,28.81298,-81.877895,T30,
101,set012-10-17-19-B2.txt,2,B,B-2,12,0.376604874,1796.8,670.3961,0,1796.8,0.998222222,1800,0.483307692,A,10.17,2,12:20,M,Homestead,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,T30,
13,set012-10-17-19-B3.txt,3,B,B-3,12,0,0,0,0,0,0,1800,0,A,10.17,2,12:20,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,
41,set012-10-17-19-B4.txt,4,B,B-4,12,0,0,0,0,0,0,1800,0,Petri1,10.17,2,12:20,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,
298,set013-10-17-19-A1.txt,1,A,A-1,13,0,0,1.2566,0,0,0,1800,0,Petri2,10.17,2,1:25,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,
64,set013-10-17-19-A2.txt,2,A,A-2,13,0,0,0.6283,0,0,0,1800,0,B,10.17,2,1:25,F,Key Largo,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596,T30,
197,set013-10-17-19-A3.txt,3,A,A-3,13,0,0,1.2566,0,0,0,1800,0,E,10.17,2,1:25,M,North Key Largo,C. corindum ,Y,,B,,,,,,,25.1948419,-80.34590136,T30,
258,set013-10-17-19-A4.txt,4,A,A-4,13,0,0,0.6283,0,0,0,1800,0,Petri2,10.17,2,1:25,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
321,set013-10-17-19-B1.txt,1,B,B-1,13,0,0,0,0,0,0,1800,0,C,10.17,2,1:25,M,Lake Placid,K. elegans,N,,,,,,,,,27.29866003,-81.36611608,T30,
390,set013-10-17-19-B2.txt,2,B,B-2,13,0,0,0,0,0,0,1800,0,,10.17,2,1:25,M,Leesburg,K. elegans,N,,,,,,,,,28.81298,-81.877895,T30,
339,set013-10-17-19-B3.txt,3,B,B-3,13,0.263176033,1793.9,464.942,0,1793.9,0.996611111,1800,0.330684211,D,10.17,2,1:25,M,Lake Placid,K. elegans,Y,,C,,,,,,,27.29866003,-81.36611608,T30,
33,set013-10-17-19-B4.txt,4,B,B-4,13,0,0,1.2566,0,0,0,1800,0,A,10.17,2,1:25,M,Plantation Key,C. corindum ,N,Y,,,,,,,,24.96448253,-80.56738908,T30,
21,set014-10-17-19-A1.txt,1,A,A-1,14,0,0,0,0,0,0,1800,0,A,10.17,2,2:20,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,
264,set014-10-17-19-A2.txt,2,A,A-2,14,0.190393939,0,4.3981,0,0,0,1800,0,C,10.17,2,2:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
269,set014-10-17-19-A3.txt,3,A,A-3,14,0,0,0,0,0,0,1800,0,C,10.17,2,2:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
155,set014-10-17-19-A4.txt,4,A,A-4,14,0.149433972,29.4,9.4245,0,13.1,0.016333333,1800,0.216655172,D,10.17,2,2:20,M,Lake Wales,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,T30,
381,set014-10-17-19-B1.txt,1,B,B-1,14,0,0,0,0,0,0,1800,0,D,10.17,2,2:20,F,Leesburg,K. elegans,N,,,,,,,Y,,28.81298,-81.877895,T30,
387,set014-10-17-19-B2.txt,2,B,B-2,14,0.221011691,779.2,11.9377,0,742.3,0.432888889,1800,0.299190476,D,10.17,2,2:20,F,Leesburg,K. elegans,Y,,B,bursts,,,,Y,,28.81298,-81.877895,T30,
68,set014-10-17-19-B3.txt,3,B,B-3,14,0.413242094,224.8,89.2186,224.8,224.8,0.124888889,1800,1.2566,Petri1,10.17,2,2:20,M,North Key Largo,C. corindum ,Y,,,,,,,Y,,25.1755048,-80.36782055,T30,
116,set014-10-17-19-B4.txt,4,B,B-4,14,0.29097256,319.1,23.8754,71.3,240.8,0.177277778,1800,0.483307692,A,10.17,2,2:20,F,Homestead,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562,T30,
229,set016-10-18-19-A1.txt,1,A,A-1,16,0,0,0,0,0,0,1800,0,E,10.18,3,10:55,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,T30,
275,set016-10-18-19-A2.txt,2,A,A-2,16,0,0,0,0,0,0,1800,0,C,10.18,3,10:55,F,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
125,set016-10-18-19-A3.txt,3,A,A-3,16,0.265430593,526.4,81.679,67.4,232.3,0.292444444,1800,0.369588235,B,10.18,3,10:55,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,
120,set016-10-18-19-A4.txt,4,A,A-4,16,0.370945165,462.9,82.9356,212.3,223.4,0.257166667,1800,0.448785714,A,10.18,3,10:55,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,
375,set017-10-18-19-A1.txt,1,A,A-1,17,0,0,0.6283,0,0,0,1800,0,Petri2,10.18,3,11:45,F,Leesburg,K. elegans,N,,,,,,,Y,,28.81298,-81.877895,T30,
331,set017-10-18-19-A2.txt,2,A,A-2,17,0,0,0.6283,0,0,0,1800,0,C,10.18,3,11:45,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,
69,set017-10-18-19-A3.txt,3,A,A-3,17,0,0,0,0,0,0,1800,0,Petri1,10.18,3,11:45,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1755048,-80.36782055,T30,
67,set017-10-18-19-A4.txt,4,A,A-4,17,0.281205678,24.7,5.6547,0,19.3,0.013722222,1800,0.571181818,Petri1,10.18,3,11:45,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.1755048,-80.36782055,T30,
187,set017-10-18-19-B1.txt,1,B,B-1,17,0,0,0,0,0,0,1800,0,B,10.18,3,11:45,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.18229498,-80.36369887,T30,
416,set017-10-18-19-B2.txt,2,B,B-2,17,0.306098372,421.1,13.1943,0,363.3,0.233944444,1800,0.448785714,D,10.18,3,11:45,F,Gainesville,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211,T30,
95,set017-10-18-19-B3.txt,3,B,B-3,17,0.48221808,1796.7,853.2314,0,1796.7,0.998166667,1800,0.6283,A,10.18,3,11:45,F,Homestead,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562,T30,
102,set017-10-18-19-B4.txt,4,B,B-4,17,0,0,0,0,0,0,1800,0,A,10.18,3,11:45,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,
34,set018-10-18-19-A1.txt,1,A,A-1,18,0.203524556,0,3.7698,0,0,0,1800,0.216655172,A,10.18,3,1:30,F,Plantation Key,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908,T30,
249,set018-10-18-19-A2.txt,2,A,A-2,18,0.255246875,0,1.8849,0,0,0,1800,0.19634375,E,10.18,3,1:30,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826,T30,
126,set018-10-18-19-A3.txt,3,A,A-3,18,0.450233838,871.9,382.0064,0,865.1,0.484388889,1800,0.571181818,B,10.18,3,1:30,M,Homestead,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,T30,
190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800,0,E,10.18,3,1:30,M,North Key Largo,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887,T30,
288,set018-10-18-19-B1.txt,1,B,B-1,18,0.295010822,942.1,13.1943,155.1,783.1,0.523388889,1800,0.571181818,Petri2,10.18,3,1:30,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.28636983,-80.29077075,T30,
290,set018-10-18-19-B2.txt,2,B,B-2,18,0,0,0,0,0,0,1800,0,Petri2,10.18,3,1:30,M,Lake Placid,K. elegans,N,Y,,,,,,,,27.29866003,-81.36611608,T30,
39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800,0,Petri1,10.18,3,1:30,F,Key Largo,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596,T30,
78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800,0,B,10.18,3,1:30,M,North Key Largo,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,T30,
221,set019-10-18-19-A1.txt,1,A,A-1,19,0,0,0,0,0,0,1800,0,E,10.18,3,2:15,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,T30,
81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800,0,B,10.18,3,2:15,M,North Key Largo,C. corindum ,N,,,,,,,,,25.173694,-80.371532,T30,
302,set019-10-18-19-A3.txt,3,A,A-3,19,0.443540492,1796.3,787.8882,0,1796.3,0.997944444,1800,0.571181818,C,10.18,3,2:15,F,Lake Placid,K. elegans,Y,,C,continuous,,,,Y,,27.29866003,-81.36611608,T30,
271,set019-10-18-19-A4.txt,4,A,A-4,19,0.214895643,13.3,2.5132,0,13.3,0.007388889,1800,0.3926875,C,10.18,3,2:15,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,
85,set019-10-18-19-B1.txt,1,B,B-1,19,0,0,0,0,0,0,1800,0,B,10.18,3,2:15,F,North Key Largo,C. corindum ,Y,,B,bursts,,,,Y,,25.173694,-80.371532,T30,
109,set019-10-18-19-B2.txt,2,B,B-2,19,0.177652756,1524.7,3.1415,0,1515.4,0.847055556,1800,0.273173913,A,10.18,3,2:15,F,Homestead,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562,T30,
351,set019-10-18-19-B3.txt,3,B,B-3,19,0.457433544,1239,566.7266,0,1236.1,0.688333333,1800,0.523583333,D,10.18,3,2:15,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,
235,set019-10-18-19-B4.txt,4,B,B-4,19,0.190141346,1671.2,305.3538,0,1671.2,0.928444444,1800,0.330684211,E,10.18,3,2:15,F,North Key Largo,C. corindum ,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981,T30,
73,set020-10-18-19-A1.txt,1,A,A-1,20,0,0,0,0,0,0,1800,0,B,10.18,3,3:00,M,North Key Largo,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,T30,
49,set020-10-18-19-A2.txt,2,A,A-2,20,0.450140735,1797,776.5788,0,1797,0.998333333,1800,0.6283,A,10.18,3,3:00,M,Key Largo,C. corindum ,Y,,C,continuous,,,,,,25.187398,-80.358596,T30,
123,set020-10-18-19-A3.txt,3,A,A-3,20,0,0,0,0,0,0,1800,0,A,10.18,3,3:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,
239,set020-10-18-19-A4.txt,4,A,A-4,20,0,0,0,0,0,0,1800,0,Petri2,10.18,3,3:00,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.27352007,-80.30428184,T30,
108,set020-10-18-19-B1.txt,1,B,B-1,20,0,0,0.6283,0,0,0,1800,0,A,10.18,3,3:00,F,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,
276,set020-10-18-19-B2.txt,2,B,B-2,20,0.444648946,993.2,440.4383,0,993.2,0.551777778,1800,0.523583333,C,10.18,3,3:00,M,North Key Largo,C. corindum ,Y,,C,,started halfway through,,,,,25.28636983,-80.29077075,T30,
92,set020-10-18-19-B3.txt,3,B,B-3,20,0,0,0,0,0,0,1800,0,A,10.18,3,3:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,
103,set020-10-18-19-B4.txt,4,B,B-4,20,0.185401728,37.1,15.7075,0,17.3,0.020611111,1800,0.31415,A,10.18,3,3:00,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,
421,set021-10-21-19-A1.txt,1,A,A-1,21,0,0,1.2566,0,0,0,1800,0,D,10.21,6,9:00,M,Gainesville,K. elegans,N,,,,,,,,,29.661821,-82.347211,T30,
129,set021-10-21-19-A2.txt,2,A,A-2,21,0.286190626,1794,493.2155,0,1794,0.996666667,1800,0.483307692,B,10.21,6,9:00,M,Homestead,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,T30,
335,set021-10-21-19-A3.txt,3,A,A-3,21,0,0,0,0,0,0,1800,0,D,10.21,6,9:00,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,
413,set021-10-21-19-A4.txt,4,A,A-4,21,0,0,0,0,0,0,1800,0,D,10.21,6,9:00,F,Gainesville,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,T30,
128,set021-10-21-19-B1.txt,1,B,B-1,21,0,0,0,0,0,0,1800,0,B,10.21,6,9:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,
208,set021-10-21-19-B2.txt,2,B,B-2,21,0,0,0,0,0,0,1800,0,E,10.21,6,9:00,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,
