ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,
203,E,10.17,9:40,9,B-1,F,North Key Largo,N,,,,
294,Petri2,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
268,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
137,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,
139,Petri1,10.16,12:25,8,A-1,F,Lake Wales,N,,,,
281,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
53,B,10.16,12:25,8,A-2,M,Key Largo,N,,,,
407,D,10.16,12:25,8,A-3,M,Gainesville,N,,,,
131,B,10.17,9:40,9,B-2,F,Homestead,N,,,,
326,C,10.16,12:25,8,A-4,M,Lake Placid,Y,,,paint came off at 80%,
98,Petri1,10.17,9:40,9,B-3,F,Homestead,N,,,,
63,B,NA,NA,NA,NA,F,Key Largo,NA,Y,,,
300,C,10.17,9:40,9,B-4,M,Lake Placid,Y,,,paint came off at end,
144,Petri1,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
279,C,10.17,10:30,10,A-1,M,North Key Largo,Y,,,,
191,E,10.16,12:25,8,B-1,M,North Key Largo,N,Y,,,
104,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
266,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
318,C,10.17,10:30,10,A-2,M,Lake Placid,Y,,bursts,,
310,C,10.16,12:25,8,B-2,F,Lake Placid,N,,,,
17,A,10.17,10:30,10,A-3,M,Plantation Key,N,,,,
285,Petri2,10.17,10:30,10,A-4,F,North Key Largo,N,,,,
378,D,NA,NA,NA,NA,M,Leesburg,NA,Y,,,
202,E,10.17,10:30,10,B-1,F,North Key Largo,N,,,no recording,
227,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
299,Petri2,10.16,12:25,8,B-3,M,Lake Placid,Y,,,,
40,Petri1,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
