average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0.4378974953485147,3598.2999999999997,1552.5293000000504,0,3598.2999999999997,0.9995277777777777,3600.0,0.5711818181818654,1,set47-10-28-19-A1.txt,261
0,0,0.6283,0,0,0,3600.0,0,2,set47-10-28-19-A2.txt,154
0,0,0,0,0,0,3600.0,0,3,set47-10-28-19-A3.txt,15
0,0,0,0,0,0,3600.0,0,4,set47-10-28-19-A4.txt,399
0,0,0,0,0,0,3599.6,0,1,set47-10-28-19-B1.txt,315
0,0,0,0,0,0,3599.6,0,2,set47-10-28-19-B2.txt,337
0,0,0,0,0,0,3599.6,0,3,set47-10-28-19-B3.txt,102
0.24610533938194087,3594.7,862.0275999999906,0,3594.7,0.9986387376375152,3599.6,0.3695882352941201,4,set47-10-28-19-B4.txt,288
0,0,0.6283,0,0,0,3600.0,0,1,set48-10-28-19-B1.txt,128
0,0,0.6283,0,0,0,3600.0,0,2,set48-10-28-19-B2.txt,73
0,0,0,0,0,0,3600.0,0,3,set48-10-28-19-B3.txt,119
0.25893044964991524,1190.1000000000001,18.848999999999993,0,1160.5,0.3305833333333334,3600.0,0.3695882352941178,4,set48-10-28-19-B4.txt,312
0,0,0,0,0,0,3600.0,0,1,set49-10-28-19-A1.txt,278
0,0,0,0,0,0,3600.0,0,2,set49-10-28-19-A2.txt,264
0.3272395833333374,516.9999999999998,4.3980999999999995,0,515.2,0.14361111111111105,3600.0,0.34905555555556433,3,set49-10-28-19-A3.txt,124
0.2494496328438768,141.6,35.8131,0,39.1,0.03933333333333333,3600.0,0.6283,4,set49-10-28-19-A4.txt,349
0.21908243282284764,2474.5,506.40980000000854,0,2461.0,0.6873611111111111,3600.0,0.6981111111111108,1,set49-10-28-19-B1.txt,313
0,0,0,0,0,0,3600.0,0,2,set49-10-28-19-B2.txt,408
0,0,0,0,0,0,3600.0,0,3,set49-10-28-19-B3.txt,249
0,0,0.6283,0,0,0,3600.0,0,4,set49-10-28-19-B4.txt,132
0,0,0.6283,0,0,0,3600.0,0,1,set50-10-28-19-A1.txt,12
0,0,0,0,0,0,3600.0,0,2,set50-10-28-19-A2.txt,303
0,0,0,0,0,0,3600.0,0,3,set50-10-28-19-A3.txt,205
0.46923097786153956,3562.8,1634.208300000061,0,3509.7000000000003,0.9896666666666667,3600.0,0.6283000000000357,4,set50-10-28-19-A4.txt,332
0.37583155062247997,2704.7999999999997,997.7403999999835,0,2692.1,0.7513333333333333,3600.0,1.2566,1,set51-10-29-19-A1.txt,339
0.3307819475806224,3597.1,1174.2927000000016,0,3597.1,0.9991944444444444,3600.0,0.48330769230769227,2,set51-10-29-19-A2.txt,89
0.30105137099818396,3284.2,980.7762999999844,0,3284.2,0.9122777777777777,3600.0,0.448785714285717,3,set51-10-29-19-A3.txt,328
0.7330166666666666,0,8.167900000000001,0,0,0,3600.0,0.20943333333333333,4,set51-10-29-19-A4.txt,34
0.24867259479420153,2075.1,27.645199999999985,0,1044.1,0.5764166666666667,3600.0,0.4487857142856851,1,set51-10-29-19-B1.txt,257
0,0,0,0,0,0,3600.0,0,2,set51-10-29-19-B2.txt,381
0.35890596883295406,3502.7,1217.6454000000072,0,3502.7,0.9729722222222221,3600.0,0.5235833333333383,3,set51-10-29-19-B3.txt,111
0,0,0,0,0,0,3600.0,0,4,set51-10-29-19-B4.txt,missing ID
