Number,sex,beak,thorax,wing,Parents,bugpop,natpop,cracked,Dvpt.time,wing2,mathost
756,M,5.63,2.97,7.83,303,Leesburg,GainesvilleGRT,n,32,L,K.elegans
757,F,6.32,3.28,6.1,303,Leesburg,Leesburg,y,27,S,K.elegans
759,M,5.2,2.97,4.97,303,Leesburg,Key_Largo,n,28,S,K.elegans
760,M,5.22,2.95,4.78,303,Leesburg,HomesteadBV,y,25,S,K.elegans
761,F,7.8,3.84,10.03,477,GainesvilleBV,GainesvilleGRT,n,36,L,K.elegans
762,M,5.6,3.14,8.6,477,GainesvilleBV,GainesvilleGRT,n,39,L,K.elegans
763,M,5.45,2.98,8.16,477,GainesvilleBV,GainesvilleGRT,y,35,L,K.elegans
767,M,5.81,3.21,9.05,350,HomesteadBV,Leesburg,n,32,L,K.elegans
768,F,6.92,3.62,7.77,350,HomesteadBV,GainesvilleGRT,n,35,S,K.elegans
769,F,6.75,3.31,7.32,350,HomesteadBV,Lake_Wales,y,30,S,K.elegans
772,M,5.65,3.25,8.77,350,HomesteadBV,Key_Largo,y,27,L,K.elegans
773,M,5.87,3.19,8.92,310,Ft.Myers,Leesburg,n,34,L,K.elegans
774,M,5.79,3.24,8.78,310,Ft.Myers,GainesvilleGRT,n,33,L,K.elegans
775,M,5.66,2.88,8.11,310,Ft.Myers,GainesvilleGRT,y,30,L,K.elegans
778,M,5.62,3.5,8.95,310,Ft.Myers,Key_Largo,y,28,L,K.elegans
779,F,6.53,3.21,6.01,299,Leesburg,Leesburg,n,30,S,K.elegans
780,F,6.47,3.62,6.96,299,Leesburg,Leesburg,n,34,S,K.elegans
781,F,6.78,3.34,6.65,299,Leesburg,HomesteadGRT,y,31,S,K.elegans
784,F,6.98,3.32,7.19,299,Leesburg,Key_Largo,y,30,S,K.elegans
785,F,9.04,3.85,10.79,241,HomesteadBV,GainesvilleGRT,n,38,L,K.elegans
786,M,6.81,3.34,9.34,241,HomesteadBV,Leesburg,n,38,L,K.elegans
787,M,5.74,2.97,8.31,241,HomesteadBV,GainesvilleGRT,y,28,L,K.elegans
790,F,7.35,3.3,6.04,241,HomesteadBV,Key_Largo,y,31,S,K.elegans
792,F,8.11,3.81,10.09,357,HomesteadGRT,Leesburg,n,35,L,K.elegans
793,M,6.09,3.18,7.41,357,HomesteadGRT,Lake_Wales,y,32,S,K.elegans
796,F,6.43,3.35,5.75,357,HomesteadGRT,Key_Largo,y,30,S,K.elegans
797,M,5.62,3.12,6.33,501,Leesburg,Leesburg,n,31,S,K.elegans
798,F,6.82,3.45,7.75,501,Leesburg,HomesteadGRT,n,33,S,K.elegans
799,M,5.94,3.28,8.99,501,Leesburg,Lake_Wales,y,31,L,K.elegans
802,F,6.35,3.37,6.46,501,Leesburg,HomesteadBV,y,27,S,K.elegans
803,M,6.06,3.2,8.69,216,Ft.Myers,GainesvilleGRT,n,37,L,K.elegans
805,M,5.64,2.88,8.27,216,Ft.Myers,GainesvilleGRT,y,33,L,K.elegans
808,M,5.87,3.27,8.8,216,Ft.Myers,Key_Largo,y,32,L,K.elegans
809,M,6.08,3.15,9.08,315,Ft.Myers,Lake_Wales,n,31,L,K.elegans
810,F,8.2,3.76,10.1,315,Ft.Myers,Lake_Wales,n,33,L,K.elegans
811,F,8.23,3.78,10.32,315,Ft.Myers,GainesvilleGRT,y,34,L,K.elegans
814,M,5.97,3.39,9.07,315,Ft.Myers,Key_Largo,y,29,L,K.elegans
815,M,5.87,3.17,9.26,284,Lake_Wales,GainesvilleGRT,n,33,L,K.elegans
816,M,5.5,3.12,8.57,284,Lake_Wales,GainesvilleGRT,n,32,L,K.elegans
817,M,5.66,3.31,9.08,284,Lake_Wales,Lake_Wales,y,30,L,K.elegans
820,M,5.26,2.78,5.03,284,Lake_Wales,Key_Largo,y,27,S,K.elegans
821,M,5.39,3.1,7.13,443,GainesvilleGRT,Lake_Wales,n,32,L,K.elegans
823,F,7.48,3.63,8.69,443,GainesvilleGRT,Leesburg,y,35,L,K.elegans
826,M,4.73,2.68,4.95,443,GainesvilleGRT,HomesteadBV,y,31,S,K.elegans
827,M,5.67,3.19,8.8,221,GainesvilleGRT,Leesburg,n,31,L,K.elegans
828,F,6.23,3.48,6.58,221,GainesvilleGRT,GainesvilleGRT,n,30,S,K.elegans
829,M,5.49,3.13,8.58,221,GainesvilleGRT,Lake_Wales,y,30,L,K.elegans
832,M,5.14,3.05,6.09,221,GainesvilleGRT,Key_Largo,y,25,S,K.elegans
834,M,5.82,3.36,9.13,400,Leesburg,Lake_Wales,n,30,L,K.elegans
835,F,6.38,3.54,7.94,400,Leesburg,Leesburg,y,28,S,K.elegans
836,M,5.85,3.33,8.77,400,Leesburg,Key_Largo,n,35,L,K.elegans
838,F,6.24,3.43,6.79,400,Leesburg,Key_Largo,y,28,S,K.elegans
841,M,6.31,3.13,8.69,366,Key_Largo,Leesburg,y,36,L,K.elegans
842,F,7.47,3.53,9.13,366,Key_Largo,Key_Largo,n,32,L,K.elegans
844,M,6.62,3.29,9.06,366,Key_Largo,Plantation_Key,y,31,L,K.elegans
845,M,5.57,3.03,8.85,391,Leesburg,Lake_Wales,n,31,L,K.elegans
846,F,6.86,3.58,8.13,391,Leesburg,Leesburg,n,33,S,K.elegans
847,M,5.77,3.23,9.06,391,Leesburg,GainesvilleGRT,y,30,L,K.elegans
850,F,6.27,3.38,6.54,391,Leesburg,Key_Largo,y,27,S,K.elegans
851,F,7.86,3.8,10.02,469,Ft.Myers,Leesburg,n,36,L,K.elegans
852,M,6.08,3.27,8.68,469,Ft.Myers,Lake_Wales,n,31,L,K.elegans
853,F,7.98,3.71,10.17,469,Ft.Myers,Leesburg,y,36,L,K.elegans
856,M,5.54,3.32,8.59,469,Ft.Myers,HomesteadBV,y,28,L,K.elegans
859,F,8.84,3.7,10.29,307,Plantation_Key,HomesteadGRT,y,37,L,K.elegans
862,M,6.13,3.19,8.51,307,Plantation_Key,HomesteadBV,y,34,L,K.elegans
864,F,9.07,4.04,10.84,69,Key_Largo,Lake_Wales,n,39,L,C.corindum
865,M,6.45,3.5,9.49,69,Key_Largo,Leesburg,y,38,L,C.corindum
868,F,6.51,3.4,5.69,69,Key_Largo,HomesteadBV,y,46,S,C.corindum
869,F,8.46,3.87,10.3,270,Key_Largo,GainesvilleGRT,n,39,L,K.elegans
871,F,8.74,3.74,10.3,270,Key_Largo,Lake_Wales,y,37,L,K.elegans
874,M,5.83,3.16,8.67,270,Key_Largo,Plantation_Key,y,31,L,K.elegans
875,F,8.42,3.94,9.98,365,Key_Largo,GainesvilleGRT,n,38,L,K.elegans
876,F,8.47,3.92,10.06,365,Key_Largo,Leesburg,n,37,L,K.elegans
877,F,8.95,3.95,10.36,365,Key_Largo,GainesvilleGRT,y,37,L,K.elegans
879,M,5.37,2.98,5.72,365,Key_Largo,Key_Largo,n,28,S,K.elegans
880,M,5.7,3.42,8.69,365,Key_Largo,Key_Largo,y,28,L,K.elegans
881,F,7.49,3.53,9.38,513,Plantation_Key,Leesburg,n,46,L,K.elegans
883,F,8.4,3.83,10.27,513,Plantation_Key,Lake_Wales,y,39,L,K.elegans
886,M,5.78,3.08,6.47,513,Plantation_Key,Key_Largo,y,32,S,K.elegans
887,F,8.34,3.69,9.8,63,Key_Largo,Lake_Wales,n,40,L,C.corindum
893,F,8.9,3.78,10.2,262,Key_Largo,HomesteadGRT,n,42,L,K.elegans
894,F,8.84,3.75,10.02,262,Key_Largo,GainesvilleGRT,n,41,L,K.elegans
895,M,6.04,3.08,8.42,262,Key_Largo,HomesteadGRT,y,40,L,K.elegans
898,F,9.19,4.01,10.36,262,Key_Largo,HomesteadBV,y,33,L,K.elegans
