ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude
255,set005-10-16-19-B2.txt,2,B,B-2,5,0,0,0.6283,0,0,0,1800.0,0,E,10.16,10:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
110,set005-10-16-19-B3.txt,3,B,B-3,5,0,0,0,0,0,0,1800.0,0,A,10.16,10:20,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,Y,,,,,,,,25.491968,-80.48562
383,set005-10-16-19-B4.txt,4,B,B-4,5,0,0,0,0,0,0,1800.0,0,D,10.16,10:20,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
312,set006-10-16-19-A1.txt,1,A,A-1,6,0.21208691836730800,546.8000000000000,30.158400000000000,0,370.4,0.3037777777777780,1800.0,0.8975714285714270,C,10.16,11:00,M,Lake Placid,Barber shop,K. elegans,Y,,B,,,,,,,27.298660028,-81.36611608
261,set006-10-16-19-A2.txt,2,A,A-2,6,0.3383139294040070,1763.7,584.319000000005,0,1763.7,0.9798333333333330,1800.0,0.4833076923076990,C,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,,,,,25.28636983,-80.29077075
405,set006-10-16-19-A3.txt,3,A,A-3,6,0,0,0,0,0,0,1800.0,0,Petri2,10.16,11:00,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,Y,,29.661821,-82.347211
113,set006-10-16-19-A4.txt,4,A,A-4,6,0.2492389696374160,1737.1,427.8723000000060,0,1737.1,0.9650555555555560,1800.0,0.34905555555556400,A,10.16,11:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continous,,,,,,25.491968,-80.48562
47,set006-10-16-19-B1.txt,1,B,B-1,6,0,0,0,0,0,0,1800.0,0,B,10.16,11:00,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.187398,-80.358596
254,set006-10-16-19-B2.txt,2,B,B-2,6,0,0,0,0,0,0,1800.0,0,E,10.16,11:00,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
257,set006-10-16-19-B3.txt,3,B,B-3,6,0.18240078130961200,1336.8,5.6547,283.1,615.5,0.7426666666666670,1800.0,0.23270370370370500,Petri2,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075
15,set006-10-16-19-B4.txt,4,B,B-4,6,0.2166551724137930,0,1.8849,0,0,0,1800.0,0,A,10.16,11:00,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
253,set007-10-16-19-A1.txt,1,A,A-1,7,0.18587956732766100,1586.0,14.450900000000000,0,1449.9,0.8811111111111110,1800.0,0.39268750000000100,E,10.16,11:50,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075
373,set007-10-16-19-A2.txt,2,A,A-2,7,0,0,0,0,0,0,1800.0,0,Petri2,10.16,11:50,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
31,set007-10-16-19-A3.txt,3,A,A-3,7,0,0,0,0,0,0,1800.0,0,A,10.16,11:50,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
223,set007-10-16-19-A4.txt,4,A,A-4,7,0.2180579533001610,1792.3000000000000,376.98000000000400,0,1792.3000000000000,0.9957222222222220,1800.0,0.3926874999999670,E,10.16,11:50,F,North Key Largo,Carysfort,C. corindum ,Y,,C,continuous,,,,,,25.25647566,-80.31068981
139,set008-10-16-19-A1.txt,1,A,A-1,8,0.2451188567003930,192.40000000000000,8.7962,131.30000000000000,131.30000000000000,0.10688888888888900,1800.0,0.4487857142856850,Petri1,10.16,12:25,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461
53,set008-10-16-19-A2.txt,2,A,A-2,8,0,0,0,0,0,0,1800.0,0,B,10.16,12:25,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.187398,-80.358596
407,set008-10-16-19-A3.txt,3,A,A-3,8,0,0,0,0,0,0,1800.0,0,D,10.16,12:25,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211
326,set008-10-16-19-A4.txt,4,A,A-4,8,0.160617451626799,73.50000000000000,12.566000000000000,0,34.200000000000000,0.04083333333333340,1800.0,0.23270370370370300,C,10.16,12:25,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at 80%,,,,,27.298660028,-81.36611608
191,set008-10-16-19-B1.txt,1,B,B-1,8,0,0,0,0,0,0,1800.0,0,E,10.16,12:25,M,North Key Largo,N. Dagny,C. corindum ,N,Y,,,,,,,,25.18229498,-80.36369887
310,set008-10-16-19-B2.txt,2,B,B-2,8,0.30127669055695400,977.8,7.539600000000000,0,971.5,0.5432222222222220,1800.0,0.6283,C,10.16,12:25,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
299,set008-10-16-19-B3.txt,3,B,B-3,8,0.21450968825968900,487.50000000000000,3.7698000000000000,0,483.90000000000000,0.2708333333333330,1800.0,0.29919047619047300,Petri2,10.16,12:25,M,Lake Placid,Barber shop,K. elegans,Y,,B,,,,,,,27.298660028,-81.36611608
334,set009-10-17-19-A1.txt,1,A,A-1,9,0.1771367890746750,7.699999999999820,4.3981000000000000,0,4.2999999999999500,0.0042777777777776800,1800.0,0.22439285714284300,D,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,,,,,27.298660028,-81.36611608
198,set009-10-17-19-A2.txt,2,A,A-2,9,0,0,0,0,0,0,1800.0,0,E,10.17,9:40,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136
295,set009-10-17-19-A3.txt,3,A,A-3,9,0.4333699002832290,1714.4000000000000,732.5977999999970,0,1711.1,0.9524444444444440,1800.0,0.5711818181818360,Petri2,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
424,set009-10-17-19-A4.txt,4,A,A-4,9,0,0,0,0,0,0,1800.0,0,D,10.17,9:40,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,Y,,,,,,,,29.661821,-82.347211
203,set009-10-17-19-B1.txt,1,B,B-1,9,0,0,0,0,0,0,1800.0,0,E,10.17,9:40,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136
131,set009-10-17-19-B2.txt,2,B,B-2,9,0,0,0.6283,0,0,0,1800.0,0,B,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
98,set009-10-17-19-B3.txt,3,B,B-3,9,0,0,0,0,0,0,1800.0,0,Petri1,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
300,set009-10-17-19-B4.txt,4,B,B-4,9,0.4653802082732230,56.30000000000000,4.3981000000000000,0,48.70000000000000,0.031277777777777800,1800.0,0.897571428571516,C,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,,,,,27.298660028,-81.36611608
279,set010-10-17-19-A1.txt,1,A,A-1,10,0.3655921000475240,1305.9,300.3274000000010,107.80000000000000,600.9,0.7255,1800.0,0.5235833333333330,C,10.17,10:30,M,North Key Largo,DD,C. corindum ,Y,,C,,,,,,,25.28636983,-80.29077075
318,set010-10-17-19-A2.txt,2,A,A-2,10,0.12905138213970900,326.60000000000000,33.92820000000000,110.90000000000000,155.20000000000000,0.18144444444444500,1800.0,0.23270370370371000,C,10.17,10:30,M,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,,,,,27.298660028,-81.36611608
17,set010-10-17-19-A3.txt,3,A,A-3,10,0.28559090909090900,0,1.8849,0,0,0,1800.0,0,A,10.17,10:30,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
285,set010-10-17-19-A4.txt,4,A,A-4,10,0.5890312500000190,0,1.8849,0,0,0,1800.0,0.7853750000000450,Petri2,10.17,10:30,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075
332,set012-10-17-19-A1.txt,1,A,A-1,12,0.3325289011596210,1796.9000000000000,574.2662000000060,0,1796.9000000000000,0.9982777777777780,1800.0,0.5711818181818210,C,10.17,12:20,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
149,set012-10-17-19-A2.txt,2,A,A-2,12,0,0,0.6283,0,0,0,1800.0,0,D,10.17,12:20,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461
226,set012-10-17-19-A3.txt,3,A,A-3,12,0.26007890959282300,540.6000000000000,6.911300000000000,0,532.3,0.3003333333333330,1800.0,0.34905555555555600,E,10.17,12:20,M,North Key Largo,Carysfort,C. corindum ,Y,,B,bursts,,,,,,25.25647566,-80.31068981
287,set012-10-17-19-A4.txt,4,A,A-4,12,0,0,0.6283,0,0,0,1800.0,0,Petri2,10.17,12:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
386,set012-10-17-19-B1.txt,1,B,B-1,12,0,0,0,0,0,0,1800.0,0,D,10.17,12:20,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
101,set012-10-17-19-B2.txt,2,B,B-2,12,0.37660487428282400,1796.8,670.3961000000010,0,1796.8,0.9982222222222220,1800.0,0.483307692307692,A,10.17,12:20,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562
13,set012-10-17-19-B3.txt,3,B,B-3,12,0,0,0,0,0,0,1800.0,0,A,10.17,12:20,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
41,set012-10-17-19-B4.txt,4,B,B-4,12,0,0,0,0,0,0,1800.0,0,Petri1,10.17,12:20,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.187398,-80.358596
298,set013-10-17-19-A1.txt,1,A,A-1,13,0,0,1.2566,0,0,0,1800.0,0,Petri2,10.17,1:25,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
64,set013-10-17-19-A2.txt,2,A,A-2,13,0,0,0.6283,0,0,0,1800.0,0,B,10.17,1:25,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596
197,set013-10-17-19-A3.txt,3,A,A-3,13,0,0,1.2566,0,0,0,1800.0,0,E,10.17,1:25,M,North Key Largo,Charlemagne,C. corindum ,Y,,B,,,,,,,25.1948419,-80.34590136
258,set013-10-17-19-A4.txt,4,A,A-4,13,0,0,0.6283,0,0,0,1800.0,0,Petri2,10.17,1:25,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
321,set013-10-17-19-B1.txt,1,B,B-1,13,0,0,0,0,0,0,1800.0,0,C,10.17,1:25,M,Lake Placid,Barber shop,K. elegans,N,,,,,,,,,27.298660028,-81.36611608
390,set013-10-17-19-B2.txt,2,B,B-2,13,0,0,0,0,0,0,1800.0,0,,10.17,1:25,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,,,28.812980,-81.877895
339,set013-10-17-19-B3.txt,3,B,B-3,13,0.2631760334841730,1793.9000000000000,464.94200000000700,0,1793.9000000000000,0.996611111111111,1800.0,0.33068421052632000,D,10.17,1:25,M,Lake Placid,Barber shop,K. elegans,Y,,C,,,,,,,27.298660028,-81.36611608
33,set013-10-17-19-B4.txt,4,B,B-4,13,0,0,1.2566,0,0,0,1800.0,0,A,10.17,1:25,M,Plantation Key,Founder's #1,C. corindum ,N,Y,,,,,,,,24.96448253,-80.56738908
21,set014-10-17-19-A1.txt,1,A,A-1,14,0,0,0,0,0,0,1800.0,0,A,10.17,2:20,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
264,set014-10-17-19-A2.txt,2,A,A-2,14,0.19039393939393900,0,4.3981000000000000,0,0,0,1800.0,0,C,10.17,2:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
269,set014-10-17-19-A3.txt,3,A,A-3,14,0,0,0,0,0,0,1800.0,0,C,10.17,2:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
155,set014-10-17-19-A4.txt,4,A,A-4,14,0.1494339715346230,29.400000000000000,9.4245,0,13.100000000000000,0.016333333333333300,1800.0,0.21665517241379300,D,10.17,2:20,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461
381,set014-10-17-19-B1.txt,1,B,B-1,14,0,0,0,0,0,0,1800.0,0,D,10.17,2:20,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
387,set014-10-17-19-B2.txt,2,B,B-2,14,0.22101169072138300,779.2000000000000,11.937700000000000,0,742.3,0.4328888888888890,1800.0,0.29919047619047600,D,10.17,2:20,F,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,B,bursts,,,,Y,,28.812980,-81.877895
68,set014-10-17-19-B3.txt,3,B,B-3,14,0.4132420937356420,224.8,89.21860000000000,224.8,224.8,0.1248888888888890,1800.0,1.2566,Petri1,10.17,2:20,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,,,,,,Y,,25.1755048,-80.36782055
116,set014-10-17-19-B4.txt,4,B,B-4,14,0.29097255976338300,319.1,23.87540000000000,71.30000000000000,240.80000000000000,0.17727777777777800,1800.0,0.48330769230768800,A,10.17,2:20,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562
