ID,set_number,chamber,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,trial_type,latitude,longitude
318,001,A-2,02.17.2020,15:39:00,17:34:00,6900.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.039,N,T1,25.1284578,-80.4080913
36,001,A-4,02.17.2020,15:40:00,16:11:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.051,N,T1,25.1755702,-80.36780089
144,002,A-2,02.18.2020,8:03:00,15:56:47,28427.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,T1,25.2275238,-80.3283788
100,002,A-3,02.18.2020,8:04:00,08:38:00,2040.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,B,,0.047,N,T1,25.2275238,-80.3283788
130,002,A-4,02.18.2020,8:05:00,15:48:00,27780.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.062,N,T1,25.2565615,-80.3108042
15,002,B-2,02.18.2020,8:06:00,08:38:00,1920.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.042,N,T1,25.1284578,-80.4080913
219,002,B-3,02.18.2020,8:06:00,08:38:00,1920.0,F,Key Largo,Key Largo,JP,C. corindum,N,,,0.049,Y,T1,25.1284578,-80.4080913
264,002,B-4,02.18.2020,8:07:00,15:48:00,27660.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.032,N,T1,27.298631,-81.36615
4,002,A-3,02.18.2020,8:40:00,09:16:00,2160.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,,,0.035,N,T1,24.9735748,-80.5539224
32,002,B-1,02.18.2020,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.064,N,T1,25.2565615,-80.3108042
329,002,B-2,02.18.2020,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.078,Y,T1,25.2734885,-80.3040957
147,002,B-3,02.18.2020,8:45:00,09:16:00,1860.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.066,N,T1,25.286747,-80.290592
190,002,A-3,02.18.2020,9:19:00,09:53:00,2040.0,M,Leesburg,Lake,Mount & 8th,K.elegans,N,,,0.043,N,T1,28.7963435,-81.8778849
19,002,B-1,02.18.2020,9:20:00,19:12:07,35527.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.050,N,T1,25.1284578,-80.4080913
164,002,B-2,02.18.2020,9:21:00,17:50:33,30573.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.053,N,T1,27.298631,-81.36615
431,002,B-3,02.18.2020,9:22:00,14:18:00,17760.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.040,N,T1,25.2734885,-80.3040957
228,002,A-3,02.18.2020,9:54:00,14:41:00,17220.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.037,N,T1,25.19515,-80.345916
106,002,B-3,02.18.2020,14:21:00,14:51:00,1800.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.046,Y,T1,24.96424,-80.5673321
17,002,A-3,02.18.2020,14:53:00,20:03:38,18638.0,M,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.040,N,T1,25.1284578,-80.4080913
270,002,B-3,02.18.2020,14:54:00,15:48:00,3240.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.027,N,T1,27.298631,-81.36615
122,002,A-4,02.18.2020,15:54:00,16:29:00,2100.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.032,N,T1,25.1820931,-80.3631938
