filename,channel_num,channel_letter,channel_chamber,ID,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set008-10-16-19-B2.txt,2,B,B-2,310,0.30127669055695394,977.8,7.539600000000001,0,971.5,0.5432222222222222,1800.0,0.6283
set008-10-16-19-B3.txt,3,B,B-3,299,0.21450968825968872,487.49999999999994,3.7697999999999996,0,483.90000000000003,0.2708333333333333,1800.0,0.29919047619047295
set008-10-16-19-B4.txt,4,B,B-4,missing ID,0,0,0,0,0,0,1800.0,0
set009-10-17-19-A1.txt,1,A,A-1,334,0.1771367890746753,7.699999999999818,4.3980999999999995,0,4.2999999999999545,0.0042777777777776764,1800.0,0.22439285714284254
set009-10-17-19-A2.txt,2,A,A-2,198,0,0,0,0,0,0,1800.0,0
set009-10-17-19-A3.txt,3,A,A-3,295,0.4333699002832286,1714.3999999999999,732.5977999999973,0,1711.1,0.9524444444444443,1800.0,0.5711818181818359
set009-10-17-19-A4.txt,4,A,A-4,424,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B1.txt,1,B,B-1,203,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B2.txt,2,B,B-2,131,0,0,0.6283,0,0,0,1800.0,0
set009-10-17-19-B3.txt,3,B,B-3,98,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B4.txt,4,B,B-4,300,0.4653802082732225,56.30000000000001,4.3980999999999995,0,48.69999999999999,0.031277777777777786,1800.0,0.897571428571516
set010-10-17-19-A1.txt,1,A,A-1,279,0.3655921000475244,1305.9,300.3274000000006,107.79999999999994,600.9,0.7255,1800.0,0.5235833333333332
set010-10-17-19-A2.txt,2,A,A-2,318,0.12905138213970915,326.60000000000025,33.92819999999999,110.90000000000009,155.20000000000005,0.18144444444444457,1800.0,0.23270370370370957
set010-10-17-19-A3.txt,3,A,A-3,17,0.28559090909090873,0,1.8849,0,0,0,1800.0,0
set010-10-17-19-A4.txt,4,A,A-4,285,0.5890312500000194,0,1.8849,0,0,0,1800.0,0.7853750000000446
set012-10-17-19-A1.txt,1,A,A-1,332,0.3325289011596206,1796.8999999999999,574.2662000000055,0,1796.8999999999999,0.9982777777777777,1800.0,0.5711818181818211
set012-10-17-19-A2.txt,2,A,A-2,149,0,0,0.6283,0,0,0,1800.0,0
set012-10-17-19-A3.txt,3,A,A-3,226,0.26007890959282265,540.5999999999999,6.911300000000001,0,532.3,0.3003333333333333,1800.0,0.34905555555555606
set012-10-17-19-A4.txt,4,A,A-4,287,0,0,0.6283,0,0,0,1800.0,0
set012-10-17-19-B1.txt,1,B,B-1,386,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B2.txt,2,B,B-2,101,0.37660487428282385,1796.8,670.3961000000005,0,1796.8,0.9982222222222222,1800.0,0.483307692307692
set012-10-17-19-B3.txt,3,B,B-3,13,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B4.txt,4,B,B-4,41,0,0,0,0,0,0,1800.0,0
set013-10-17-19-A1.txt,1,A,A-1,298,0,0,1.2566,0,0,0,1800.0,0
set013-10-17-19-A2.txt,2,A,A-2,64,0,0,0.6283,0,0,0,1800.0,0
set013-10-17-19-A3.txt,3,A,A-3,197,0,0,1.2566,0,0,0,1800.0,0
set013-10-17-19-A4.txt,4,A,A-4,258,0,0,0.6283,0,0,0,1800.0,0
set013-10-17-19-B1.txt,1,B,B-1,321,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B2.txt,2,B,B-2,390,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B3.txt,3,B,B-3,339,0.2631760334841734,1793.8999999999999,464.94200000000694,0,1793.8999999999999,0.996611111111111,1800.0,0.33068421052631974
set013-10-17-19-B4.txt,4,B,B-4,33,0,0,1.2566,0,0,0,1800.0,0
