filename,channel_num,channel_letter,chamber,ID,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set008-10-16-19-B1.txt,1,B,B-1,191,8,0,0,0,0,0,0,1800.0,0
set008-10-16-19-B2.txt,2,B,B-2,310,8,0.30127669055695400,977.8,7.539600000000000,0,971.5,0.5432222222222220,1800.0,0.6283
set008-10-16-19-B3.txt,3,B,B-3,299,8,0.21450968825968900,487.50000000000000,3.7698000000000000,0,483.90000000000000,0.2708333333333330,1800.0,0.29919047619047300
set009-10-17-19-A1.txt,1,A,A-1,334,9,0.1771367890746750,7.699999999999820,4.3981000000000000,0,4.2999999999999500,0.0042777777777776800,1800.0,0.22439285714284300
set009-10-17-19-A2.txt,2,A,A-2,198,9,0,0,0,0,0,0,1800.0,0
set009-10-17-19-A3.txt,3,A,A-3,295,9,0.4333699002832290,1714.4000000000000,732.5977999999970,0,1711.1,0.9524444444444440,1800.0,0.5711818181818360
set009-10-17-19-A4.txt,4,A,A-4,424,9,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B1.txt,1,B,B-1,203,9,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B2.txt,2,B,B-2,131,9,0,0,0.6283,0,0,0,1800.0,0
set009-10-17-19-B3.txt,3,B,B-3,98,9,0,0,0,0,0,0,1800.0,0
set009-10-17-19-B4.txt,4,B,B-4,300,9,0.4653802082732230,56.30000000000000,4.3981000000000000,0,48.70000000000000,0.031277777777777800,1800.0,0.897571428571516
set010-10-17-19-A1.txt,1,A,A-1,279,10,0.3655921000475240,1305.9,300.3274000000010,107.80000000000000,600.9,0.7255,1800.0,0.5235833333333330
set010-10-17-19-A2.txt,2,A,A-2,318,10,0.12905138213970900,326.60000000000000,33.92820000000000,110.90000000000000,155.20000000000000,0.18144444444444500,1800.0,0.23270370370371000
set010-10-17-19-A3.txt,3,A,A-3,17,10,0.28559090909090900,0,1.8849,0,0,0,1800.0,0
set010-10-17-19-A4.txt,4,A,A-4,285,10,0.5890312500000190,0,1.8849,0,0,0,1800.0,0.7853750000000450
set012-10-17-19-A1.txt,1,A,A-1,332,12,0.3325289011596210,1796.9000000000000,574.2662000000060,0,1796.9000000000000,0.9982777777777780,1800.0,0.5711818181818210
set012-10-17-19-A2.txt,2,A,A-2,149,12,0,0,0.6283,0,0,0,1800.0,0
set012-10-17-19-A3.txt,3,A,A-3,226,12,0.26007890959282300,540.6000000000000,6.911300000000000,0,532.3,0.3003333333333330,1800.0,0.34905555555555600
set012-10-17-19-A4.txt,4,A,A-4,287,12,0,0,0.6283,0,0,0,1800.0,0
set012-10-17-19-B1.txt,1,B,B-1,386,12,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B2.txt,2,B,B-2,101,12,0.37660487428282400,1796.8,670.3961000000010,0,1796.8,0.9982222222222220,1800.0,0.483307692307692
set012-10-17-19-B3.txt,3,B,B-3,13,12,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B4.txt,4,B,B-4,41,12,0,0,0,0,0,0,1800.0,0
set013-10-17-19-A1.txt,1,A,A-1,298,13,0,0,1.2566,0,0,0,1800.0,0
set013-10-17-19-A2.txt,2,A,A-2,64,13,0,0,0.6283,0,0,0,1800.0,0
set013-10-17-19-A3.txt,3,A,A-3,197,13,0,0,1.2566,0,0,0,1800.0,0
set013-10-17-19-A4.txt,4,A,A-4,258,13,0,0,0.6283,0,0,0,1800.0,0
set013-10-17-19-B1.txt,1,B,B-1,321,13,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B2.txt,2,B,B-2,390,13,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B3.txt,3,B,B-3,339,13,0.2631760334841730,1793.9000000000000,464.94200000000700,0,1793.9000000000000,0.996611111111111,1800.0,0.33068421052632000
set013-10-17-19-B4.txt,4,B,B-4,33,13,0,0,1.2566,0,0,0,1800.0,0
set014-10-17-19-A1.txt,1,A,A-1,21,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A2.txt,2,A,A-2,264,14,0.19039393939393900,0,4.3981000000000000,0,0,0,1800.0,0
set014-10-17-19-A3.txt,3,A,A-3,269,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A4.txt,4,A,A-4,155,14,0.1494339715346230,29.400000000000000,9.4245,0,13.100000000000000,0.016333333333333300,1800.0,0.21665517241379300
set014-10-17-19-B1.txt,1,B,B-1,381,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-B2.txt,2,B,B-2,387,14,0.22101169072138300,779.2000000000000,11.937700000000000,0,742.3,0.4328888888888890,1800.0,0.29919047619047600
set014-10-17-19-B3.txt,3,B,B-3,68,14,0.4132420937356420,224.8,89.21860000000000,224.8,224.8,0.1248888888888890,1800.0,1.2566
set014-10-17-19-B4.txt,4,B,B-4,116,14,0.29097255976338300,319.1,23.87540000000000,71.30000000000000,240.80000000000000,0.17727777777777800,1800.0,0.48330769230768800
set016-10-18-19-A1.txt,1,A,A-1,229,16,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A2.txt,2,A,A-2,275,16,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A3.txt,3,A,A-3,125,16,0.26543059292345400,526.4000000000000,81.67900000000000,67.40000000000000,232.30000000000000,0.2924444444444440,1800.0,0.3695882352941200
set016-10-18-19-A4.txt,4,A,A-4,120,16,0.37094516504252900,462.90000000000000,82.93560000000000,212.30000000000000,223.40000000000000,0.2571666666666670,1800.0,0.44878571428572200
set017-10-18-19-A1.txt,1,A,A-1,375,17,0,0,0.6283,0,0,0,1800.0,0
set017-10-18-19-A2.txt,2,A,A-2,331,17,0,0,0.6283,0,0,0,1800.0,0
set017-10-18-19-A3.txt,3,A,A-3,69,17,0,0,0,0,0,0,1800.0,0
set017-10-18-19-A4.txt,4,A,A-4,67,17,0.2812056783108850,24.70000000000000,5.6547,0,19.30000000000000,0.013722222222222200,1800.0,0.5711818181818060
set017-10-18-19-B1.txt,1,B,B-1,187,17,0,0,0,0,0,0,1800.0,0
set017-10-18-19-B2.txt,2,B,B-2,416,17,0.30609837217139300,421.10000000000000,13.194300000000000,0,363.3000000000000,0.2339444444444450,1800.0,0.4487857142856850
set017-10-18-19-B3.txt,3,B,B-3,95,17,0.4822180800754950,1796.7,853.231399999991,0,1796.7,0.9981666666666670,1800.0,0.6283
set017-10-18-19-B4.txt,4,B,B-4,102,17,0,0,0,0,0,0,1800.0,0
set018-10-18-19-A1.txt,1,A,A-1,34,18,0.20352455590386500,0,3.7698000000000000,0,0,0,1800.0,0.21665517241379500
set018-10-18-19-A2.txt,2,A,A-2,249,18,0.2552468750000000,0,1.8849,0,0,0,1800.0,0.19634375000000000
set018-10-18-19-A3.txt,3,A,A-3,126,18,0.4502338384409250,871.9000000000000,382.00640000000400,0,865.1000000000000,0.4843888888888890,1800.0,0.5711818181818360
set018-10-18-19-A4.txt,4,A,A-4,190,18,0,0,0,0,0,0,1800.0,0
