ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end,latitude,longitutde
218,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
219,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
220,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,DNA,,NA,,,,,25.25647566,-80.31068981
222,E,NA,NA,NA,NA,M,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
225,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
227,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
228,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
230,E,NA,NA,NA,NA,M,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
231,E,NA,NA,NA,NA,M,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
232,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
233,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
236,E,NA,NA,NA,NA,F,North Key Largo,Carysfort Cr,C. corindum,NA,Y,,,,NA,,,,,25.25647566,-80.31068981
240,Petri2,NA,NA,NA,NA,M,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
241,Petri2,NA,NA,NA,NA,M,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
242,,NA,NA,NA,NA,F,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,Y,Y,,25.27352007,-80.30428184
243,Petri2,NA,NA,NA,NA,M,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
244,Petri2,NA,NA,NA,NA,F,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
246,E,NA,NA,NA,NA,F,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
247,E,NA,NA,NA,NA,M,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
248,E,NA,NA,NA,NA,M,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,,,25.27352007,-80.30428184
250,,NA,NA,NA,NA,F,North Key Largo,DD -inter,C. corindum,NA,,,,,NA,,Y,,,25.252842,-80.311826
251,E,NA,NA,NA,NA,M,North Key Largo,DD -inter,C. corindum,NA,Y,,,,NA,,,,,25.252842,-80.311826
260,C,NA,NA,NA,NA,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
266,C,NA,NA,NA,NA,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
267,C,NA,NA,NA,NA,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
268,C,NA,NA,NA,NA,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
273,C,NA,NA,NA,NA,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
274,C,NA,NA,NA,NA,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
277,C,NA,NA,NA,NA,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
281,C,NA,NA,NA,NA,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
289,Petri2,NA,NA,NA,NA,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
291,Petri2,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
292,Petri2,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
293,Petri2,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
294,Petri2,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
297,Petri2,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
301,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
304,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
305,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
307,C,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
309,C,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
316,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
317,C,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
322,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
324,C,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
338,D,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
341,D,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
344,D,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
345,D,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
347,D,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
350,D,NA,NA,NA,NA,F,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
352,D,NA,NA,NA,NA,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
370,Petri2,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
371,Petri2,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
374,Petri2,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
377,D,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
378,D,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
379,D,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
382,D,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
385,D,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
388,Petri1,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
389,Petri1,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
393,Petri1,NA,NA,NA,NA,M,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
394,,NA,NA,NA,NA,F,Leesburg,Veteran’s Memorial Park,K. elegans,NA,Y,,,,NA,,,,,28.812980,-81.877895
398,D,NA,NA,NA,NA,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
400,D,NA,NA,NA,NA,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
401,Petri2,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
403,Petri2,NA,NA,NA,NA,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
411,D,NA,NA,NA,NA,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
412,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
414,D,NA,NA,NA,NA,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
415,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
417,,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,,,,,NA,,Y,,,29.661821,-82.347211
418,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
419,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
420,,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,,,,,NA,,Y,,,29.661821,-82.347211
422,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
423,D,NA,NA,NA,NA,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,,,,29.661821,-82.347211
196,,NA,NA,NA,,F,North Key Largo,Charlemagne,C. corindum,NA,,,,,NA,,Y,,,25.1948419,-80.34590136
13,,,,,,M,Plantation Key,Founder's #1,C. corindum,NA,Y,,,,NA,,N,,,24.96448253,-80.56738908
16,,,,,,F,Plantation Key,Founder's #1,C. corindum,NA,Y,,,,NA,,,,,24.96448253,-80.56738908
26,,,,,,M,Plantation Key,Founder's #1,C. corindum,NA,Y,,,,NA,,,,,24.96448253,-80.56738908
39,,,,,,F,Key Largo,JP Grove,C. corindum,NA,Y,,,,NA,,,Y,,25.12846,-80.40809
47,,,,,,M,Key Largo,JP Grove,C. corindum,NA,Y,,,,NA,,N,,,25.12846,-80.40809
49,,,,,,M,Key Largo,JP Grove,C. corindum,,Y,,,,NA,,,,,25.12846,-80.40809
54,,,,,,M,Key Largo,JP Grove,C. corindum,,Y,,,,NA,,,,,25.12846,-80.40809
56,,,,,,M,Key Largo,JP Grove,C. corindum,NA,Y,,,,NA,,,,,25.12846,-80.40809
58,,,,,,F,Key Largo,JP Grove,C. corindum,,Y,,,,NA,,,,,25.12846,-80.40809
62,,,,,,F,Key Largo,JP Grove,C. corindum,NA,Y,,,,NA,,N,Y,,25.12846,-80.40809
64,,,,,,F,Key Largo,JP Grove,C. corindum,NA,Y,,,,NA,,,Y,,25.12846,-80.40809
66,P,,12:50pm,,,F,North Key Largo,Dagny Trellis,C. corindum,,Y,,,,NA,,,Y,,25.1755048,-80.36782055
81,,,,,,M,North Key Largo,Dagny 1/2 Loop,C. corindum,,Y,,,,NA,,,,,25.173694,-80.371532
82,,,,,,M,North Key Largo,Dagny 1/2 Loop,C. corindum,NA,Y,,,,NA,,,,,25.173694,-80.371532
85,,,,,,F,North Key Largo,Dagny 1/2 Loop,C. corindum,NA,Y,,,,NA,,,Y,,25.173694,-80.371532
86,,,,,,M,North Key Largo,Dagny 1/2 Loop,C. corindum,NA,Y,,,,NA,,,,,25.173694,-80.371532
108,,,,,,F,Homestead,SW 296th St & 182nd Ave,K. elegans,NA,Y,,,,NA,,,,,25.491968,-80.48562
127,,,,,,M,Homestead,SW 296th St & 182nd Ave,K. elegans,NA,Y,,,,NA,,,,,25.491968,-80.48562
134,,,,,,M,Homestead,SW 296th St & 182nd Ave,K. elegans,,Y,,,,NA,,,,,25.491968,-80.48562
158,,,,,,M,Lake Wales,Polk,K. elegans,NA,Y,,,,NA,0.145,,,,27.903346,-81.589461
195,,,,,,M,North Key Largo,Charlemagne,C. corindum,NA,Y,,,,NA,,N,,,25.1948419,-80.34590136
203,,,,,,F,North Key Largo,Charlemagne,C. corindum,,Y,,,,NA,,,Y,,25.1948419,-80.34590136
213,,,12:50pm,,,M,North Key Largo,Charlemagne,C. corindum,,Y,,,,NA,,,,,25.1948419,-80.34590136
217,,,,,,F,North Key Largo,MM165,C. corindum,NA,Y,,,,NA,,N,Y,,25.22808757,-80.32888325
239,,,,,,F,North Key Largo,DD front,C. corindum,NA,Y,,,,NA,,,Y,,25.27352007,-80.30428184
256,,,,,,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,Y,,25.28636983,-80.29077075
265,,,,,,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,N,Y,,25.28636983,-80.29077075
269,,,,,,M,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,,,25.28636983,-80.29077075
270,,,,,,F,North Key Largo,DD,C. corindum,NA,Y,,,,NA,,,Y,,25.28636983,-80.29077075
279,,,,,,M,North Key Largo,DD,C. corindum,,Y,,,,NA,,,,,25.28636983,-80.29077075
282,,,,,,M,North Key Largo,DD,C. corindum,,Y,,,,NA,,,,,25.28636983,-80.29077075
286,P,,11:10am,,,M,North Key Largo,DD,C. corindum,,Y,,,,NA,,,,,25.28636983,-80.29077075
321,,,,,,M,Lake Placid,Barber shop,K. elegans,,Y,,,,NA,,,,,27.298660028,-81.36611608
326,,,12:50pm,,,M,Lake Placid,Barber shop,K. elegans,,Y,,,,NA,,,,,27.298660028,-81.36611608
334,,,,,,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,,,,27.298660028,-81.36611608
337,,,,,,M,Lake Placid,Barber shop,K. elegans,,Y,,,,NA,,,,,27.298660028,-81.36611608
340,,,,,,F,Lake Placid,Barber shop,K. elegans,,Y,,,no recording,NA,,,,,27.298660028,-81.36611608
346,,,,,,M,Lake Placid,Barber shop,K. elegans,,Y,,,,NA,,,,,27.298660028,-81.36611608
348,,,,,,M,Lake Placid,Barber shop,K. elegans,NA,Y,,,,NA,,N,,,27.298660028,-81.36611608
392,P,,,,,F,Leesburg,Veteran’s Memorial Park,K. elegans,,Y,,,,NA,,,Y,,28.812980,-81.877895
402,P,,,,,M,Gainesville,NW 10th Ave & 18th St,K. elegans,,Y,,,,NA,0.04,,,,29.661821,-82.347211
405,P,,,,,F,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,Y,,,,NA,,N,Y,,29.661821,-82.347211
413,,,,,,F,Gainesville,NW 10th Ave & 18th St,K. elegans,,Y,,,,NA,,,Y,,29.661821,-82.347211
