ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
255,E,10.16,10:20,5,B-2,M,North Key Largo,N,,,,set005-10-16-19-B2.txt
110,A,10.16,10:20,5,B-3,F,Homestead,N,Y,,,set005-10-16-19-B3.txt
383,D,10.16,10:20,5,B-4,M,Leesburg,N,Y,,,set005-10-16-19-B4.txt
312,C,10.16,11:00,6,A-1,M,Lake Placid,Y,,,,set006-10-16-19-A1.txt
261,C,10.16,11:00,6,A-2,M,North Key Largo,Y,,continuous,,set006-10-16-19-A2.txt
405,Petri2,10.16,11:00,6,A-3,F,Gainesville,N,,,,set006-10-16-19-A3.txt
113,A,10.16,11:00,6,A-4,M,Homestead,Y,,continous,,set006-10-16-19-A4.txt
47,B,10.16,11:00,6,B-1,M,Key Largo,N,,,,set006-10-16-19-B1.txt
254,E,10.16,11:00,6,B-2,M,North Key Largo,N,,,,set006-10-16-19-B2.txt
257,Petri2,10.16,11:00,6,B-3,M,North Key Largo,Y,,,,set006-10-16-19-B3.txt
15,A,10.16,11:00,6,B-4,M,Plantation Key,N,,,,set006-10-16-19-B4.txt
253,E,10.16,11:50,7,A-1,F,North Key Largo,N,,,,set007-10-16-19-A1.txt
373,Petri2,10.16,11:50,7,A-2,M,Leesburg,N,Y,,,set007-10-16-19-A2.txt
31,A,10.16,11:50,7,A-3,M,Plantation Key,N,,,,set007-10-16-19-A3.txt
223,E,10.16,11:50,7,A-4,F,North Key Largo,Y,,continuous,,set007-10-16-19-A4.txt
148,D,10.16,11:50,7,B-1,M,Lake Wales,N,,,no recordings,NA
278,C,10.16,11:50,7,B-2,M,North Key Largo,N,,,no recordings,NA
224,E,10.16,11:50,7,B-3,M,North Key Largo,N,,,no recordings,NA
397,D,10.16,11:50,7,B-4,F,Gainesville,N,,,no recordings,NA
139,Petri1,10.16,12:25,8,A-1,F,Lake Wales,N,,,,set008-10-16-19-A2.txt
53,B,10.16,12:25,8,A-2,M,Key Largo,N,,,,set008-10-16-19-A3.txt
407,D,10.16,12:25,8,A-3,M,Gainesville,N,,,,set008-10-16-19-A4.txt
326,C,10.16,12:25,8,A-4,M,Lake Placid,Y,,,paint came off at 80%,set008-10-16-19-B1.txt
191,E,10.16,12:25,8,B-1,M,North Key Largo,N,Y,,,set008-10-16-19-B2.txt
310,C,10.16,12:25,8,B-2,F,Lake Placid,N,,,,set008-10-16-19-B3.txt
299,Petri2,10.16,12:25,8,B-3,M,Lake Placid,Y,,,,set008-10-16-19-B4.txt
