ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
373,Petri2,10.16,11:50,7,A-2,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,set007-10-16-19-A2.txt,,,,
31,A,10.16,11:50,7,A-3,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,set007-10-16-19-A3.txt,,,,
223,E,10.16,11:50,7,A-4,F,North Key Largo,Carysfort,C. corindum ,Y,,C,continuous,,set007-10-16-19-A4.txt,,,,
148,D,10.16,11:50,7,B-1,M,Lake Wales,Polk,K. elegans,N,,,,no recording,NA,,,,
278,C,10.16,11:50,7,B-2,M,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,,
224,E,10.16,11:50,7,B-3,M,North Key Largo,Carysfort,C. corindum ,N,,,,no recording,NA,,,,
397,D,10.16,11:50,7,B-4,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,no recording,NA,,,Y,
139,Petri1,10.16,12:25,8,A-1,F,Lake Wales,Polk,K. elegans,N,,,,,set008-10-16-19-A1.txt,,,Y,
53,B,10.16,12:25,8,A-2,M,Key Largo,JP Grove,C. corindum ,N,,,,,set008-10-16-19-A2.txt,,,,
407,D,10.16,12:25,8,A-3,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,set008-10-16-19-A3.txt,,,,
326,C,10.16,12:25,8,A-4,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at 80%,set008-10-16-19-A4.txt,,,,
191,E,10.16,12:25,8,B-1,M,North Key Largo,N. Dagny,C. corindum ,N,Y,,,,set008-10-16-19-B1.txt,,,,
310,C,10.16,12:25,8,B-2,F,Lake Placid,Barber shop,K. elegans,N,,,,,set008-10-16-19-B2.txt,,,Y,
299,Petri2,10.16,12:25,8,B-3,M,Lake Placid,Barber shop,K. elegans,Y,,B,,,set008-10-16-19-B3.txt,,,,
334,D,10.17,9:40,9,A-1,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,set009-10-17-19-A1.txt,,,,
198,E,10.17,9:40,9,A-2,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,set009-10-17-19-A2.txt,,,Y,
295,Petri2,10.17,9:40,9,A-3,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set009-10-17-19-A3.txt,,,,
424,D,10.17,9:40,9,A-4,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,Y,,,,set009-10-17-19-A4.txt,,,,
203,E,10.17,9:40,9,B-1,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,set009-10-17-19-B1.txt,,,Y,
131,B,10.17,9:40,9,B-2,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set009-10-17-19-B2.txt,,,Y,
98,Petri1,10.17,9:40,9,B-3,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set009-10-17-19-B3.txt,,,Y,
300,C,10.17,9:40,9,B-4,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,set009-10-17-19-B4.txt,,,,
279,C,10.17,10:30,10,A-1,M,North Key Largo,DD,C. corindum ,Y,,C,,,set010-10-17-19-A1.txt,,,,
318,C,10.17,10:30,10,A-2,M,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,set010-10-17-19-A2.txt,,,,
17,A,10.17,10:30,10,A-3,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,set010-10-17-19-A3.txt,,,,
285,Petri2,10.17,10:30,10,A-4,F,North Key Largo,DD,C. corindum ,N,,,,,set010-10-17-19-A4.txt,,,Y,
202,E,10.17,10:30,10,B-1,F,North Key Largo,Charlemagne,C. corindum ,N,,,,no recording,NA,,,,
153,D,10.17,10:30,10,B-2,F,Lake Wales,Polk,K. elegans,N,,,,no recording,NA,,,Y,
333,C,10.17,10:30,10,B-3,F,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,Y,
8,A,10.17,10:30,10,B-4,F,Plantation Key,Founder's #2,C. corindum ,N,,,,no recording,NA,,,Y,
217,E,10.17,11:20,11,A-1,F,North Key Largo,MM165,C. corindum ,N,,,,no recording,NA,,,,
66,Petri1,10.17,11:20,11,A-2,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,no recording,NA,,,Y,
56,B,10.17,11:20,11,A-3,M,Key Largo,JP Grove,C. corindum ,N,,,,no recording,NA,,,,
384,D,10.17,11:20,11,A-4,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,no recording,NA,,,,
327,C,10.17,11:20,11,B-1,M,Lake Placid,Barber shop,K. elegans,N,Y,,,no recording,NA,,,,
283,C,10.17,11:20,11,B-2,F,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,Y,
314,C,10.17,11:20,11,B-3,F,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,Y,
410,D,10.17,11:20,11,B-4,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,no recording,NA,,,Y,
332,C,10.17,12:20,12,A-1,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set012-10-17-19-A1.txt,,,,
149,D,10.17,12:20,12,A-2,F,Lake Wales,Polk,K. elegans,N,,,,,set012-10-17-19-A2.txt,,,Y,
226,E,10.17,12:20,12,A-3,M,North Key Largo,Carysfort,C. corindum ,Y,,B,bursts,,set012-10-17-19-A3.txt,,,,
287,Petri2,10.17,12:20,12,A-4,M,North Key Largo,DD,C. corindum ,N,,,,,set012-10-17-19-A4.txt,,,,
386,D,10.17,12:20,12,B-1,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,set012-10-17-19-B1.txt,,,,
101,A,10.17,12:20,12,B-2,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,set012-10-17-19-B2.txt,,,,
13,A,10.17,12:20,12,B-3,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,set012-10-17-19-B3.txt,,,,
41,Petri1,10.17,12:20,12,B-4,M,Key Largo,JP Grove,C. corindum ,N,,,,,set012-10-17-19-B4.txt,,,,
298,Petri2,10.17,1:25,13,A-1,F,Lake Placid,Barber shop,K. elegans,N,,,,,set013-10-17-19-A1.txt,,,Y,
64,B,10.17,1:25,13,A-2,F,Key Largo,JP Grove,C. corindum ,N,,,,,set013-10-17-19-A2.txt,,,Y,
197,E,10.17,1:25,13,A-3,M,North Key Largo,Charlemagne,C. corindum ,Y,,B,,,set013-10-17-19-A3.txt,,,,
258,Petri2,10.17,1:25,13,A-4,M,North Key Largo,DD,C. corindum ,N,,,,,set013-10-17-19-A4.txt,,,,
321,C,10.17,1:25,13,B-1,M,Lake Placid,Barber shop,K. elegans,N,,,,,set013-10-17-19-B1.txt,,,,
