filename,channel_num,channel_letter,chamber,ID,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set012-10-17-19-A1.txt,1,A,A-1,332,12,0.333,1796.9,574.266,0,1796.9,0.998,1800.0,0.571
set012-10-17-19-A2.txt,2,A,A-2,149,12,0,0,0.628,0,0,0,1800.0,0
set012-10-17-19-A3.txt,3,A,A-3,226,12,0.26,540.6,6.911,0,532.3,0.3,1800.0,0.349
set012-10-17-19-A4.txt,4,A,A-4,287,12,0,0,0.628,0,0,0,1800.0,0
set012-10-17-19-B1.txt,1,B,B-1,386,12,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B2.txt,2,B,B-2,101,12,0.377,1796.8,670.396,0,1796.8,0.998,1800.0,0.483
set012-10-17-19-B3.txt,3,B,B-3,13,12,0,0,0,0,0,0,1800.0,0
set012-10-17-19-B4.txt,4,B,B-4,41,12,0,0,0,0,0,0,1800.0,0
set013-10-17-19-A1.txt,1,A,A-1,298,13,0,0,1.257,0,0,0,1800.0,0
set013-10-17-19-A2.txt,2,A,A-2,64,13,0,0,0.628,0,0,0,1800.0,0
set013-10-17-19-A3.txt,3,A,A-3,197,13,0,0,1.257,0,0,0,1800.0,0
set013-10-17-19-A4.txt,4,A,A-4,258,13,0,0,0.628,0,0,0,1800.0,0
set013-10-17-19-B1.txt,1,B,B-1,321,13,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B2.txt,2,B,B-2,390,13,0,0,0,0,0,0,1800.0,0
set013-10-17-19-B3.txt,3,B,B-3,339,13,0.263,1793.9,464.942,0,1793.9,0.997,1800.0,0.331
set013-10-17-19-B4.txt,4,B,B-4,33,13,0,0,1.257,0,0,0,1800.0,0
set014-10-17-19-A1.txt,1,A,A-1,21,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A2.txt,2,A,A-2,264,14,0.19,0,4.398,0,0,0,1800.0,0
set014-10-17-19-A3.txt,3,A,A-3,269,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A4.txt,4,A,A-4,155,14,0.149,29.4,9.425,0,13.1,0.016,1800.0,0.217
set014-10-17-19-B1.txt,1,B,B-1,381,14,0,0,0,0,0,0,1800.0,0
set014-10-17-19-B2.txt,2,B,B-2,387,14,0.221,779.2,11.938,0,742.3,0.433,1800.0,0.299
