ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude
238,set005-10-16-19-A4.txt,4,A,A-4,5,0.126,577.6,4.398,0,571.6,0.321,1800.0,0.15,Petri2,10.16,10:20,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981
296,set005-10-16-19-B1.txt,1,B,B-1,5,0.186,1645.5,4.398,0,1640.8,0.914,1800.0,0.19,Petri2,10.16,10:20,F,Lake Placid,Barber shop,K. elegans,Y,,B,,,,,Y,,27.298660028,-81.36611608
255,set005-10-16-19-B2.txt,2,B,B-2,5,0,0,0.628,0,0,0,1800.0,0,E,10.16,10:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
110,set005-10-16-19-B3.txt,3,B,B-3,5,0,0,0,0,0,0,1800.0,0,A,10.16,10:20,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,Y,,,,,,,,25.491968,-80.48562
383,set005-10-16-19-B4.txt,4,B,B-4,5,0,0,0,0,0,0,1800.0,0,D,10.16,10:20,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
312,set006-10-16-19-A1.txt,1,A,A-1,6,0.212,546.8,30.158,0,370.4,0.304,1800.0,0.898,C,10.16,11:00,M,Lake Placid,Barber shop,K. elegans,Y,,B,,,,,,,27.298660028,-81.36611608
261,set006-10-16-19-A2.txt,2,A,A-2,6,0.338,1763.7,584.319,0,1763.7,0.98,1800.0,0.483,C,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,,,,,25.28636983,-80.29077075
405,set006-10-16-19-A3.txt,3,A,A-3,6,0,0,0,0,0,0,1800.0,0,Petri2,10.16,11:00,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,Y,,29.661821,-82.347211
113,set006-10-16-19-A4.txt,4,A,A-4,6,0.249,1737.1,427.872,0,1737.1,0.965,1800.0,0.349,A,10.16,11:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continous,,,,,,25.491968,-80.48562
47,set006-10-16-19-B1.txt,1,B,B-1,6,0,0,0,0,0,0,1800.0,0,B,10.16,11:00,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809
254,set006-10-16-19-B2.txt,2,B,B-2,6,0,0,0,0,0,0,1800.0,0,E,10.16,11:00,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
257,set006-10-16-19-B3.txt,3,B,B-3,6,0.182,1336.8,5.655,283.1,615.5,0.743,1800.0,0.233,Petri2,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075
15,set006-10-16-19-B4.txt,4,B,B-4,6,0.217,0,1.885,0,0,0,1800.0,0,A,10.16,11:00,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
253,set007-10-16-19-A1.txt,1,A,A-1,7,0.186,1586.0,14.451,0,1449.9,0.881,1800.0,0.393,E,10.16,11:50,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075
373,set007-10-16-19-A2.txt,2,A,A-2,7,0,0,0,0,0,0,1800.0,0,Petri2,10.16,11:50,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
31,set007-10-16-19-A3.txt,3,A,A-3,7,0,0,0,0,0,0,1800.0,0,A,10.16,11:50,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
223,set007-10-16-19-A4.txt,4,A,A-4,7,0.218,1792.3,376.98,0,1792.3,0.996,1800.0,0.393,E,10.16,11:50,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,C,continuous,,,,,,25.25647566,-80.31068981
