ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
35,C. corindum,North Key Largo,M,5.99,2.99,7.55,10.8,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,,03.30.2020,04.03.2020,AB
36,C. corindum,North Key Largo,M,5.95,3.1,8.2,11.48,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
37,C. corindum,North Key Largo,F,7.44,3.07,7.86,11.2,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
38,C. corindum,North Key Largo,M,5.72,2.82,7.46,10.43,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
40,C. corindum,Homestead,M,5.59,2.84,7.5,10.55,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
41,K.elegans,Homestead,F,7.47,3.82,9.66,13.31,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
42,K.elegans,Homestead,F,7.7,3.53,9.43,12.83,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
43,K.elegans,Homestead,F,6.14,2.95,7.81,11.09,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
44,K.elegans,Homestead,F,7.74,3.38,9.09,12.86,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
45,K.elegans,Homestead,M,5.06,2.75,7.68,10.18,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,wings torn at the end,03.30.2020,04.03.2020,AB
46,K.elegans,Homestead,M,5.14,2.55,7.08,9.77,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
47,K.elegans,Homestead,F,7.83,3.4,8.98,12.67,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,03.30.2020,04.03.2020,AB
48,K.elegans,Homestead,M,6.05,3.37,8.45,11.71,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,wings torn at the end,03.30.2020,04.03.2020,AB
49,K.elegans,Homestead,M,6.01,3.3,8.34,11.64,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,wings torn at the end,03.30.2020,04.03.2020,AB
50,K.elegans,Homestead,M,5.39,3.22,7.5,10.79,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,wings torn at the end,03.30.2020,04.03.2020,AB
52,K.elegans,Lake Placid,M,5.46,3,8.23,11.57,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,03.30.2020,04.03.2020,AB
53,K.elegans,Lake Placid,F,8.31,3.71,9.77,13.61,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,03.30.2020,04.03.2020,AB
54,K.elegans,Lake Placid,F,6.44,3.38,9.42,12.99,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.01.2020,04.03.2020,AB
56,K.elegans,Lake Placid,M,5.85,2.98,8.35,11.53,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.01.2020,04.03.2020,AB
57,K.elegans,Lake Placid,M,5.31,2.96,7.77,10.89,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.01.2020,04.03.2020,AB
59,K.elegans,Lake Placid,F,6.06,3.2,9.63,12.74,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.01.2020,04.03.2020,AB
62,K.elegans,Lake Wales,M,5.41,2.98,8.03,11.18,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
63,K.elegans,Lake Wales,F,7.75,3.58,9.34,13.26,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
66,K.elegans,Lake Wales,M,5.46,2.9,8.21,11.14,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
69,K.elegans,Lake Wales,F,7.44,3.33,8.98,12.36,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
