ID,sex,host_plant,egg_diff,mass_diff,flew_diff,mass_per,flight_case,egg_case
261,M,K.elegans,0,0.003,0,7.6923076923077,2,0
262,M,K.elegans,0,0.00599999999999999,-1,16.2162162162162,-1,0
266,M,K.elegans,0,0.005,-1,16.6666666666667,-1,0
267,M,K.elegans,0,-0.003,-1,-7.49999999999999,-1,0
268,M,K.elegans,0,0.003,0,9.0909090909091,2,0
269,F,K.elegans,1,0.021,-1,35.5932203389831,-1,1
271,F,K.elegans,1,0.03,-1,60,-1,1
281,M,K.elegans,0,0.002,-1,6.66666666666667,-1,0
282,M,K.elegans,0,0.007,0,20.5882352941176,2,0
293,M,K.elegans,0,0.002,0,5.26315789473685,0,0
295,M,K.elegans,0,-0.002,0,-6.06060606060607,2,0
301,M,C. corindum,0,0.01,-1,25.6410256410256,-1,0
303,M,C. corindum,0,0.000999999999999994,0,2.38095238095237,2,0
304,M,C. corindum,0,0.014,0,50,0,0
306,M,C. corindum,0,0.011,0,26.8292682926829,2,0
307,M,C. corindum,0,0.012,0,41.3793103448276,2,0
308,F,C. corindum,0,0.016,0,22.2222222222222,2,0
309,M,C. corindum,0,-0.002,0,-5.71428571428572,2,0
310,M,C. corindum,0,-0.001,0,-2.22222222222222,2,0
311,M,C. corindum,0,-0.001,1,-2.77777777777778,1,0
312,M,C. corindum,0,-0.007,0,-18.4210526315789,2,0
313,M,C. corindum,0,-0.007,0,-17.9487179487179,0,0
314,F,C. corindum,0,0.012,0,17.1428571428571,0,2
315,M,C. corindum,0,0.003,0,9.37500000000001,2,0
316,M,C. corindum,0,0.011,-1,30.5555555555555,-1,0
318,F,C. corindum,1,0.023,-1,58.974358974359,-1,1
319,F,C. corindum,1,-0.034,0,-34.3434343434343,2,1
320,M,C. corindum,0,-0.004,1,-8.51063829787235,1,0
322,F,C. corindum,0,0.001,-1,2.17391304347826,-1,0
323,M,C. corindum,0,0.002,0,5.71428571428572,2,0
324,M,C. corindum,0,0.00199999999999999,0,5.55555555555554,2,0
325,M,C. corindum,0,0.003,0,6.52173913043479,2,0
326,F,C. corindum,0,0.037,-1,43.5294117647059,-1,2
327,F,C. corindum,0,0.002,0,2.56410256410257,0,2
328,F,C. corindum,0,0.01,0,13.5135135135135,0,2
329,F,C. corindum,0,0.00700000000000001,0,8.97435897435898,0,2
330,F,C. corindum,0,-0.015,-1,-13.7614678899083,-1,2
331,M,C. corindum,0,0.004,0,10.5263157894737,2,0
332,M,C. corindum,0,0.005,-1,17.2413793103448,-1,0
333,M,C. corindum,0,0,0,0,2,0
334,F,C. corindum,0,0.004,0,7.14285714285714,2,0
335,M,C. corindum,0,0.005,0,15.1515151515151,0,0
339,F,C. corindum,1,NA,0,NA,0,1
342,F,C. corindum,1,NA,-1,NA,-1,1
343,M,C. corindum,0,0,0,0,2,0
344,M,C. corindum,0,-0.007,0,-17.5,0,0
345,F,C. corindum,0,-0.00299999999999999,0,-3.65853658536584,0,2
347,M,C. corindum,0,0.008,-1,16.6666666666667,-1,0
350,M,C. corindum,0,0.008,0,26.6666666666667,2,0
351,M,C. corindum,0,0.004,0,11.7647058823529,2,0
352,M,C. corindum,0,0.004,0,13.7931034482759,2,0
353,M,C. corindum,0,0,0,0,2,0
354,M,C. corindum,0,0.004,-1,14.8148148148148,-1,0
355,M,C. corindum,0,0.007,0,25.9259259259259,2,0
356,M,C. corindum,0,0.002,-1,5.26315789473685,-1,0
357,M,C. corindum,0,0.003,-1,10.7142857142857,-1,0
358,M,C. corindum,0,0,0,0,0,0
359,M,C. corindum,0,0.005,0,19.2307692307692,2,0
360,F,C. corindum,0,0.002,0,1.88679245283019,0,2
371,M,K.elegans,0,-0.001,0,-3.22580645161291,2,0
375,F,K.elegans,1,0.015,-1,23.8095238095238,-1,1
376,M,K.elegans,0,-0.002,0,-6.4516129032258,0,0
382,M,C. corindum,0,0.003,0,8.82352941176471,2,0
383,M,C. corindum,0,0.007,0,14,2,0
384,M,C. corindum,0,0.002,0,6.45161290322581,2,0
385,F,C. corindum,0,-0.002,0,-2.98507462686567,2,2
387,F,C. corindum,0,-0.017,0,-17.8947368421053,0,2
388,M,C. corindum,0,-0.00199999999999999,0,-3.92156862745097,2,0
390,F,C. corindum,0,0.016,0,32.6530612244898,0,2
391,F,C. corindum,0,0.002,0,3.77358490566038,2,0
392,M,C. corindum,0,0.011,-1,42.3076923076923,-1,0
393,F,C. corindum,0,-0.004,0,-4,0,2
394,M,C. corindum,0,0.006,0,23.0769230769231,2,0
395,M,C. corindum,0,-0.003,0,-6.25000000000001,0,0
396,M,C. corindum,0,-0.005,0,-9.80392156862745,2,0
397,M,C. corindum,0,-0.006,-1,-12.7659574468085,-1,0
400,M,C. corindum,0,0,0,0,0,0
401,F,C. corindum,0,0.001,0,1.04166666666667,0,2
403,M,C. corindum,0,0.00199999999999999,0,3.70370370370369,2,0
404,M,C. corindum,0,0.003,0,9.37500000000001,2,0
406,M,C. corindum,0,0.003,0,9.37500000000001,2,0
407,F,C. corindum,-1,-0.02,0,-26.3157894736842,0,-1
409,M,C. corindum,0,0.011,0,37.9310344827586,2,0
410,M,C. corindum,0,0.009,0,20.4545454545455,2,0
411,M,C. corindum,0,0.012,-1,33.3333333333333,-1,0
412,M,C. corindum,0,0.00600000000000001,0,20,2,0
413,M,C. corindum,0,0.007,0,14.2857142857143,0,0
415,M,C. corindum,0,0,0,0,2,0
416,M,C. corindum,0,0.011,0,32.3529411764706,2,0
417,M,C. corindum,0,-0.003,-1,-8.10810810810811,-1,0
418,M,C. corindum,0,-0.003,-1,-6.52173913043479,-1,0
419,M,C. corindum,0,0.004,0,10.8108108108108,0,0
420,F,C. corindum,0,-0.017,0,-21.5189873417722,0,2
421,M,C. corindum,0,0,0,0,2,0
423,M,C. corindum,0,0.008,0,30.7692307692308,2,0
424,F,C. corindum,1,0.03,-1,50,-1,1
425,M,C. corindum,0,0.015,0,55.5555555555556,2,0
426,M,C. corindum,0,-0.01,0,-23.2558139534884,2,0
428,F,C. corindum,0,0,0,0,0,2
429,F,C. corindum,0,0.014,0,17.7215189873418,0,2
431,M,C. corindum,0,-0.001,-1,-2.5,-1,0
432,M,C. corindum,0,-0.001,0,-2.56410256410257,2,0
433,M,C. corindum,0,0.006,-1,17.1428571428571,-1,0
434,M,C. corindum,0,-0.005,1,-13.5135135135135,1,0
437,M,C. corindum,0,-0.001,-1,-2.17391304347826,-1,0
438,F,C. corindum,1,0.003,0,4.34782608695653,2,1
439,M,C. corindum,0,0.007,0,21.2121212121212,2,0
441,M,C. corindum,0,0.011,0,21.1538461538461,2,0
444,M,C. corindum,0,-0.003,0,-8.33333333333334,2,0
