ID,filename,channel_num,channel_letter,chamber,test_date,days_from_start,time_start,sex,population,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude,trial_type,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
312,set006-10-16-19-A1.txt,1,A,A-1,10.16,1,11:00,M,Lake Placid,K. elegans,Y,,B,,,,,,,27.29866003,-81.36611608,T30,6,0.212086918,546.8,30.1584,0,370.4,0.303777778,1800,0.897571429
261,set006-10-16-19-A2.txt,2,A,A-2,10.16,1,11:00,M,North Key Largo,C. corindum ,Y,,C,continuous,,,,,,25.28636983,-80.29077075,T30,6,0.338313929,1763.7,584.319,0,1763.7,0.979833333,1800,0.483307692
405,set006-10-16-19-A3.txt,3,A,A-3,10.16,1,11:00,F,Gainesville,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,T30,6,0,0,0,0,0,0,1800,0
113,set006-10-16-19-A4.txt,4,A,A-4,10.16,1,11:00,M,Homestead,K. elegans,Y,,C,continous,,,,,,25.491968,-80.48562,T30,6,0.24923897,1737.1,427.8723,0,1737.1,0.965055556,1800,0.349055556
47,set006-10-16-19-B1.txt,1,B,B-1,10.16,1,11:00,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,6,0,0,0,0,0,0,1800,0
254,set006-10-16-19-B2.txt,2,B,B-2,10.16,1,11:00,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,6,0,0,0,0,0,0,1800,0
257,set006-10-16-19-B3.txt,3,B,B-3,10.16,1,11:00,M,North Key Largo,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075,T30,6,0.182400781,1336.8,5.6547,283.1,615.5,0.742666667,1800,0.232703704
15,set006-10-16-19-B4.txt,4,B,B-4,10.16,1,11:00,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,6,0.216655172,0,1.8849,0,0,0,1800,0
253,set007-10-16-19-A1.txt,1,A,A-1,10.16,1,11:50,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,T30,7,0.185879567,1586,14.4509,0,1449.9,0.881111111,1800,0.3926875
373,set007-10-16-19-A2.txt,2,A,A-2,10.16,1,11:50,M,Leesburg,K. elegans,N,Y,,,,,,,,28.81298,-81.877895,T30,7,0,0,0,0,0,0,1800,0
31,set007-10-16-19-A3.txt,3,A,A-3,10.16,1,11:50,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,7,0,0,0,0,0,0,1800,0
223,set007-10-16-19-A4.txt,4,A,A-4,10.16,1,11:50,F,North Key Largo,C. corindum ,Y,,C,continuous,,,,,,25.25647566,-80.31068981,T30,7,0.218057953,1792.3,376.98,0,1792.3,0.995722222,1800,0.3926875
139,set008-10-16-19-A1.txt,1,A,A-1,10.16,1,12:25,F,Lake Wales,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,T30,8,0.245118857,192.4,8.7962,131.3,131.3,0.106888889,1800,0.448785714
53,set008-10-16-19-A2.txt,2,A,A-2,10.16,1,12:25,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,8,0,0,0,0,0,0,1800,0
407,set008-10-16-19-A3.txt,3,A,A-3,10.16,1,12:25,M,Gainesville,K. elegans,N,,,,,,,,,29.661821,-82.347211,T30,8,0,0,0,0,0,0,1800,0
326,set008-10-16-19-A4.txt,4,A,A-4,10.16,1,12:25,M,Lake Placid,K. elegans,Y,,B,,paint came off at 80%,,,,,27.29866003,-81.36611608,T30,8,0.160617452,73.5,12.566,0,34.2,0.040833333,1800,0.232703704
191,set008-10-16-19-B1.txt,1,B,B-1,10.16,1,12:25,M,North Key Largo,C. corindum ,N,Y,,,,,,,,25.18229498,-80.36369887,T30,8,0,0,0,0,0,0,1800,0
310,set008-10-16-19-B2.txt,2,B,B-2,10.16,1,12:25,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,8,0.301276691,977.8,7.5396,0,971.5,0.543222222,1800,0.6283
299,set008-10-16-19-B3.txt,3,B,B-3,10.16,1,12:25,M,Lake Placid,K. elegans,Y,,B,,,,,,,27.29866003,-81.36611608,T30,8,0.214509688,487.5,3.7698,0,483.9,0.270833333,1800,0.299190476
334,set009-10-17-19-A1.txt,1,A,A-1,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,B,,paint came off at end,,,,,27.29866003,-81.36611608,T30,9,0.177136789,7.7,4.3981,0,4.3,0.004277778,1800,0.224392857
198,set009-10-17-19-A2.txt,2,A,A-2,10.17,2,9:40,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,9,0,0,0,0,0,0,1800,0
295,set009-10-17-19-A3.txt,3,A,A-3,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,9,0.4333699,1714.4,732.5978,0,1711.1,0.952444444,1800,0.571181818
424,set009-10-17-19-A4.txt,4,A,A-4,10.17,2,9:40,M,Gainesville,K. elegans,N,Y,,,,,,,,29.661821,-82.347211,T30,9,0,0,0,0,0,0,1800,0
203,set009-10-17-19-B1.txt,1,B,B-1,10.17,2,9:40,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,9,0,0,0,0,0,0,1800,0
131,set009-10-17-19-B2.txt,2,B,B-2,10.17,2,9:40,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,9,0,0,1.2566,0,0,0,1800,0
98,set009-10-17-19-B3.txt,3,B,B-3,10.17,2,9:40,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,9,0,0,0,0,0,0,1800,0
300,set009-10-17-19-B4.txt,4,B,B-4,10.17,2,9:40,M,Lake Placid,K. elegans,Y,,B,,paint came off at end,,,,,27.29866003,-81.36611608,T30,9,0.649608507,56.3,5.0264,0,48.7,0.031277778,1800,1.57075
279,set010-10-17-19-A1.txt,1,A,A-1,10.17,2,10:30,M,North Key Largo,C. corindum ,Y,,C,,,,,,,25.28636983,-80.29077075,T30,10,0.3655921,1305.9,300.3274,107.8,600.9,0.7255,1800,0.523583333
318,set010-10-17-19-A2.txt,2,A,A-2,10.17,2,10:30,M,Lake Placid,K. elegans,Y,,B,bursts,,,,,,27.29866003,-81.36611608,T30,10,0.129051382,326.6,33.9282,110.9,155.2,0.181444444,1800,0.232703704
17,set010-10-17-19-A3.txt,3,A,A-3,10.17,2,10:30,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,10,0.285590909,0,1.8849,0,0,0,1800,0
285,set010-10-17-19-A4.txt,4,A,A-4,10.17,2,10:30,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,T30,10,0.916270833,2,2.5132,0,2,0.001111111,1800,0.785375
332,set012-10-17-19-A1.txt,1,A,A-1,10.17,2,12:20,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,12,0.333883629,1796.9,574.8945,0,1796.9,0.998277778,1800,1.57075
