ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID ,mass,EWM,NOTES
372,,,,,,,28/28,70,Lake Placid,,,372,,,
27,,,,,,,28/28,70,Homstead,,,27,,,
298,,,,,,,28/28,70,Leesburg,,,298,,,
119,,,,,,,28/28,70,Key Largo,,,119,,,
250,,,,,,,28/28,70,Lake Place,,,250,,,
184,,,,,,,28/28,70,Leesburg,,,184,,,
260,,,,,,,28/28,70,Lake Place,,,260,,,
117,,,,,,,28/28,70,Key Largo,,,117,,,
61,,,,,,,28/28,70,Lake Placid,,,61,,,
35,,,,,,,28/28,70,Homstead,,,35,,,
22,,,,,,,28/28,70,Homstead,,,22,,,
347,,,,,,,28/28,70,Homestead,,,347,,,
281,,,,,,,28/28,70,Leesburg,,,281,,,
66,,,,,,,28/28,70,Lake Wales,,,66,,,
314,,,,,,,28/28,70,Plantation Key,,,314,,,
286,,,,,,,28/28,70,Leesburg,,,286,,,
339,,,,,,,28/28,70,Plantation Key,,,339,,,
127,,,,,,,28/28,70,Homestead,,,127,,,
60,,,,,,,28/28,70,Lake Placid,,,60,,,
287,,,,,,,28/28,70,Leesburg,,,287,,,
134,,,,,,,28/28,70,Homestead,,,134,,,
43,,,,,,,28/28,70,Homstead,,,43,,,
355,,,,,,,28/28,70,Homestead,,,355,,,
164,,,,,,,28/28,70,Lake Placid,,,164,,,
36,,,,,,,28/28,70,Homstead,,,36,,,
130,,,,,,,28/28,70,Homestead,,,130,,,
45,,,,,,,28/28,70,Homstead,,,45,,,
380,,,,,,,28/28,70,Leesburg,,,380,,,
192,,,,,,,28/28,70,Leesburg,,,192,,,
215,,,,,,,28/28,70,Homstead,,,215,,,
247,,,,,,,28/28,70,Lake Place,,,247,,,
241,,,,,,,28/28,70,Lake Place,,,241,,,
124,,,,,,,28/28,70,Homestead,,,124,,,
394,,,,,,,28/28,70,Leesburg,,,394,,,
202,,,,,,,28/28,70,Plantation Key,,,202,,,
369,,,,,,,28/28,70,Lake Placid,,,369,,,
110,,,,,,,28/28,70,Plantation Key,,,110,,,
144,,,,,,,28/28,70,Homestead,,,144,,,
206,,,,,,,28/28,70,Plantation Key,,,206,,,
138,,,,,,,28/28,70,Homestead,,,138,,,
226,,,,,,,28/28,70,Homstead,,,226,,,
147,,,,,,,28/28,70,Lake Placid,,,147,,,
140,,,,,,,28/28,70,Homestead,,,140,,,
209,,,,,,,28/28,70,Plantation Key,,,209,,,
198,,,,,,,28/28,70,Leesburg,,,198,,,
183,,,,,,,28/28,70,Leesburg,,,183,,,
78,,,,,,,28/28,70,Lake Wales,,,78,,,
11,,,,,,,28/28,70,Key Largo,,,11,,,
187,,,,,,,28/28,70,Leesburg,,,187,,,
155,,,,,,,28/28,70,Lake Placid,,,155,,,
299,,,,,,,28/28,70,Leesburg,,,299,,,
323,,,,,,,28/28,70,Plantation Key,,,323,,,
362,,,,,,,28/28,70,Homestead,,,362,,,
361,,,,,,,28/28,70,Homestead,,,361,,,
16,,,,,,,28/28,70,Key Largo,,,16,,,
325,,,,,,,28/28,70,Plantation Key,,,325,,,
233,,,,,,,28/28,70,Homstead,,,233,,,
15,,,,,,,28/28,70,Key Largo,,,15,,,
333,,,,,,,28/28,70,Plantation Key,,,333,,,
182,,,,,,,28/28,70,Leesburg,,,182,,,
274,,,,,,,28/28,70,Lake Wales,,,274,,,
363,,,,,,,28/28,70,Lake Placid,,,363,,,
284,,,,,,,28/28,70,Leesburg,,,284,,,
148,,,,,,,28/28,70,Lake Placid,,,148,,,
145,,,,,,,28/28,70,Homestead,,,145,,,
156,,,,,,,28/28,70,Lake Placid,,,156,,,
160,,,,,,,28/28,70,Lake Placid,,,160,,,
139,,,,,,,28/28,70,Homestead,,,139,,,
304,,,,,,,28/28,70,Plantation Key,,,304,,,
191,,,,,,,28/28,70,Leesburg,,,191,,,
332,,,,,,,28/28,70,Plantation Key,,,332,,,
231,,,,,,,28/28,70,Homstead,,,231,,,
234,,,,,,,28/28,70,Homstead,,,234,,,
373,,,,,,,28/28,70,Lake Placid,,,373,,,
388,,,,,,,28/28,70,Leesburg,,,388,,,
322,,,,,,,28/28,70,Plantation Key,,,322,,,
175,,,,,,,28/28,70,Lake Wales,,,175,,,
112,,,,,,,28/28,70,Key Largo,,,112,,,
113,,,,,,,28/28,70,Key Largo,,,113,,,
255,,,,,,,28/28,70,Lake Place,,,255,,,
24,,,,,,,28/28,70,Homstead,,,24,,,
300,,,,,,,28/28,70,Leesburg,,,300,,,
101,,,,,,,28/28,70,Plantation Key,,,101,,,
236,,,,,,,28/28,70,Homstead,,,236,,,
