ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs
25,set007-2-25-2020-A3_25.txt,T1,A-3,A,3,7,0.270711620641328,1716.7399999999998,450.4911000000064,0.0,1716.7399999999998,0.627392364169264,2736.310000000001,0.50264,2020-02-25,12:00:00,12:31:00,1860.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.052000000000000005,N,25.273488500000003,-80.3040957,
263,set007-2-25-2020-A3_263.txt,T1,A-3,A,3,7,0.0,0.0,0.6283,0.0,0.0,0.0,2140.9500000000007,0.0,2020-02-25,13:44:00,14:16:00,1920.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.061,N,27.298631,-81.36615,
30,set007-2-25-2020-A3_30.txt,T1,A-3,A,3,7,0.2351991483492024,1252.359999999997,5.0264,0.0,1246.9399999999987,0.585951499782436,2137.3099999999977,0.3784939759036477,2020-02-25,14:56:00,15:28:00,1920.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.091,Y,25.19515,-80.345916,278.0
339,set007-2-25-2020-A3_339.txt,T1,A-3,A,3,7,0.1566832917706361,0.0,1.8849,0.0,0.0,0.0,1949.630000000001,0.0,2020-02-25,15:30:00,16:03:00,1980.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,,,25.2565615,-80.3108042,49.0
53,set007-2-25-2020-A3_53.txt,T1,A-3,A,3,7,0.2677459312745661,40.820000000000064,13.194299999999995,0.0,16.14,0.017770773564124133,2297.03,0.4106535947712491,2020-02-25,8:05:00,08:37:00,1920.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,B,,0.106,Y,27.298631,-81.36615,22.0
266,set007-2-25-2020-A4_266.txt,T1,A-4,A,4,7,0.0,0.0,0.0,0.0,0.0,0.0,2152.4300000000007,0.0,2020-02-25,8:44:00,09:18:00,2040.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,B,,0.03,N,27.298631,-81.36615,
349,set007-2-25-2020-A4_349.txt,T1,A-4,A,4,7,0.17600279443838446,0.0,2.5132,0.0,0.0,0.0,2364.23,0.2398091603053431,2020-02-25,8:05:00,08:37:00,1920.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.036000000000000004,N,25.2275238,-80.3283788,
42,set007-2-25-2020-A4_42.txt,T1,A-4,A,4,7,0.4183464314162304,654.25,264.5142999999992,171.8900000000003,482.3599999999997,0.2941784810183499,2223.99,0.7853750000007143,2020-02-25,9:22:00,09:56:00,2040.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.069,N,25.491362,-80.485821,1.0
48,set007-2-25-2020-A4_48.txt,T1,A-4,A,4,7,0.5596582121982433,954.4299999999968,28.901799999999987,120.5099999999984,462.619999999999,0.4970989583333316,1920.0,1.2319607843088043,2020-02-25,15:31:00,16:03:00,1920.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,,,25.491362,-80.485821,2.0
56,set007-2-25-2020-A4_56.txt,T1,A-4,A,4,7,0.3617798946266141,16822.4,5329.240600000243,101.44999999999891,10070.44,0.8434267722220273,19945.3,1.3962222222199647,2020-02-25,9:57:00,15:28:00,19860.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.036000000000000004,N,27.298631,-81.36615,
260,set007-2-25-2020-B1_260.txt,T1,B-1,B,1,7,0.0,0.0,0.0,0.0,0.0,0.0,2250.390000000001,0.0,2020-02-25,8:45:00,09:18:00,1980.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.026000000000000002,N,25.491362,-80.485821,
282,set007-2-25-2020-B1_282.txt,T1,B-1,B,1,7,0.28250058512470305,41910.429999999986,11391.70730000322,217.90999999999627,35009.77,0.9231268547423808,45400.51,0.5560176991149905,2020-02-25,9:23:00,19:14:01,35461.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,C,,0.034,N,28.7963435,-81.8778849,
439,set007-2-25-2020-B1_439.txt,T1,B-1,B,1,7,0.3027242024637468,1087.49,5.6547,0.0,1079.98,0.4813883589264609,2259.07,0.3272395833333332,2020-02-25,8:07:00,08:37:00,1800.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.033,N,25.273488500000003,-80.3040957,
161,set007-2-25-2020-B2_161.txt,T1,B-2,B,2,7,0.26696909669656205,23530.79,6072.519500000608,0.0,23530.79,0.9844435528642664,23902.63,0.4520143884893979,2020-02-25,9:24:00,16:03:00,23940.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.066,N,27.298631,-81.36615,18.0
314,set007-2-25-2020-B2_314.txt,T1,B-2,B,2,7,0.0,0.0,0.0,0.0,0.0,0.0,2227.1500000000005,0.0,2020-02-25,8:46:00,09:18:00,1920.0,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.07,Y,25.1000151,-80.437522,92.0
93,set007-2-25-2020-B2_93.txt,T1,B-2,B,2,7,0.18878283018316985,13.930000000000005,4.3981,0.0,13.930000000000005,0.006079810055036904,2291.19,0.30062200956937796,2020-02-25,8:07:00,08:37:00,1800.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.053,N,25.286747000000002,-80.290592,1.0
215,set007-2-25-2020-B3_215.txt,T1,B-3,B,3,7,0.23724306147873497,43288.95,10111.231900002591,0.0,43288.95,0.9986951358975822,43345.51,1.1219642857116616,2020-02-25,9:58:00,22:01:09,43389.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.048,N,25.1000151,-80.437522,
310,set007-2-25-2020-B3_310.txt,T1,B-3,B,3,7,0.3126458154459282,253.64,79.16580000000003,240.45,240.45,0.10745863960853262,2360.35,1.396222222222081,2020-02-25,8:07:00,08:37:00,1800.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.045,N,24.96424,-80.5673321,
413,set007-2-25-2020-B3_413.txt,T1,B-3,B,3,7,0.0,0.0,0.0,0.0,0.0,0.0,2035.1500000000005,0.0,2020-02-25,9:25:00,09:56:00,1860.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.049,N,25.1820931,-80.36319379999999,
99,set007-2-25-2020-B3_99.txt,T1,B-3,B,3,7,0.0,0.0,0.6283,0.0,0.0,0.0,2168.9500000000007,0.0,2020-02-25,8:47:00,09:18:00,1860.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.03,N,25.2275238,-80.3283788,
192,set007-2-25-2020-B4_192.txt,T1,B-4,B,4,7,0.0,0.0,0.0,0.0,0.0,0.0,1763.710000000001,0.0,2020-02-25,12:00:00,12:30:00,1800.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.054000000000000006,N,29.66200224,-82.347313,
254,set007-2-25-2020-B4_254.txt,T1,B-4,B,4,7,0.23926184379719104,36.630000000001026,3.1415,0.0,33.04999999999927,0.017191775357047776,2130.6700000000023,0.3926875000003571,2020-02-25,14:57:00,15:28:00,1860.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.071,Y,25.491362,-80.485821,82.0
327,set007-2-25-2020-B4_327.txt,T1,B-4,B,4,7,0.0,0.0,1.2566,0.0,0.0,0.0,2190.150000000001,0.0,2020-02-25,14:20:00,14:52:00,1920.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.078,Y,25.273488500000003,-80.3040957,225.0
342,set007-2-25-2020-B4_342.txt,T1,B-4,B,4,7,0.22360033886109204,574.8999999999978,120.00529999999978,0.0,550.489999999998,0.3076190425230204,1868.8700000000024,0.4552898550721277,2020-02-25,15:32:00,16:03:00,1860.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,CB,,,,25.1755702,-80.36780089,1.0
38,set007-2-25-2020-B4_38.txt,T1,B-4,B,4,7,0.2331743172311669,8585.5,1938.3055000001002,0.0,8585.5,0.7842136078941094,10947.91,0.9519696969685949,2020-02-25,8:48:00,11:37:00,10140.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,C,,0.04,N,25.1755702,-80.36780089,
428,set007-2-25-2020-B4_428.txt,T1,B-4,B,4,7,0.0,0.0,0.0,0.0,0.0,0.0,2699.9500000000007,0.0,2020-02-25,12:30:00,13:00:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.06,Y,25.19515,-80.345916,148.0
46,set007-2-25-2020-B4_46.txt,T1,B-4,B,4,7,0.1747413457643327,779.5699999999997,3.7698,0.0,769.2799999999988,0.37233905364162173,2093.709999999999,0.21968531468527,2020-02-25,13:46:00,14:16:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.033,N,25.491362,-80.485821,
87,set007-2-25-2020-B4_87.txt,T1,B-4,B,4,7,0.26962763803965784,24.599999999999852,8.7962,0.0,15.31,0.010194482547128698,2413.07,0.3807878787878791,2020-02-25,8:07:00,08:37:00,1800.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,B,,0.032,N,29.66200224,-82.347313,
168,set008-2-26-2020-A1_168.txt,T1,A-1,A,1,8,0.1421493212669684,0.0,1.8849,0.0,0.0,0.0,2028.63,0.0,2020-02-26,9:05:00,09:35:00,1800.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.052000000000000005,N,27.298631,-81.36615,
212,set008-2-26-2020-A1_212.txt,T1,A-1,A,1,8,0.3964548246042349,44585.42000000001,17371.866700006154,123.98000000000002,44461.44,0.9982998722609148,44661.35,0.5660360360359711,2020-02-26,9:40:00,22:02:33,44553.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.033,N,25.1000151,-80.437522,
136,set008-2-26-2020-A2_136.txt,T1,A-2,A,2,8,0.3688561372729471,26780.210000000006,9792.683800002436,0.0,26780.210000000006,0.6016792966653344,44509.11,0.5108130081300737,2020-02-26,9:41:00,17:07:41,26801.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,C,,0.051,Y,25.1755702,-80.36780089,117.0
96,set008-2-26-2020-A2_96.txt,T1,A-2,A,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2180.87,0.0,2020-02-26,9:05:00,09:35:00,1800.0,F,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.098,Y,25.2275238,-80.3283788,5.0
193,set008-2-26-2020-A3_193.txt,T1,A-3,A,3,8,0.0,0.0,0.0,0.0,0.0,0.0,2208.5099999999984,0.0,2020-02-26,13:38:00,14:09:00,1860.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.039,N,29.66200224,-82.347313,
211,set008-2-26-2020-A3_211.txt,T1,A-3,A,3,8,0.0,0.0,0.0,0.0,0.0,0.0,2100.8300000000017,0.0,2020-02-26,15:54:00,16:30:00,2160.0,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.055999999999999994,N,25.1000151,-80.437522,156.0
225,set008-2-26-2020-A3_225.txt,T1,A-3,A,3,8,0.4637582674214245,2717.6800000000007,1174.9210000000014,207.2700000000004,2456.26,0.5566153474340043,4882.51,1.2822448979597547,2020-02-26,10:20:00,11:10:00,3000.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.038,N,25.273488500000003,-80.3040957,
316,set008-2-26-2020-A3_316.txt,T1,A-3,A,3,8,0.3361935290854428,881.1599999999999,295.3010000000004,0.0,881.1599999999999,0.4497848468916373,1959.07,0.5660360360357392,2020-02-26,14:46:00,15:18:00,1920.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.036000000000000004,N,25.1284578,-80.4080913,
355,set008-2-26-2020-A3_355.txt,T1,A-3,A,3,8,0.2334340540327309,4656.27,1044.2345999999848,0.0,4656.27,0.673978777268431,6908.629999999999,0.3205612244896412,2020-02-26,11:41:00,13:37:00,6960.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.027000000000000003,N,25.1820931,-80.36319379999999,
388,set008-2-26-2020-A3_388.txt,T1,A-3,A,3,8,0.2745249775847203,82.93999999999869,21.362199999999987,0.0,43.70000000000073,0.039396371961790494,2105.2700000000004,0.3631791907515367,2020-02-26,15:19:00,15:53:00,2040.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.051,N,24.96424,-80.5673321,
40,set008-2-26-2020-A3_40.txt,T1,A-3,A,3,8,0.290153100650593,3605.61,996.4837999999837,0.0,3605.61,0.7956751722935622,4531.51,0.3878395061728656,2020-02-26,9:05:00,10:17:00,4320.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,C,,0.033,N,25.1755702,-80.36780089,
90,set008-2-26-2020-A3_90.txt,T1,A-3,A,3,8,0.4275430663154204,238.38000000000463,99.89969999999991,81.54000000000087,152.760000000002,0.11681915524431885,2040.59,0.4947244094486488,2020-02-26,14:13:00,14:45:00,1920.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,B,,0.033,N,29.66200224,-82.347313,
119,set008-2-26-2020-A4_119.txt,T1,A-4,A,4,8,0.3719335642413368,39.340000000000146,12.565999999999995,0.0,37.56000000000131,0.0192655203992185,2041.989999999998,0.4870542635669354,2020-02-26,14:14:00,14:45:00,1860.0,F,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.043,N,25.1284578,-80.4080913,
140,set008-2-26-2020-A4_140.txt,T1,A-4,A,4,8,0.5272794816272599,295.79999999999563,61.57340000000011,88.36000000000057,88.36000000000057,0.14080551416861226,2100.7700000000004,1.3962222222199647,2020-02-26,15:55:00,16:30:00,2100.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,,,0.09,N,25.1755702,-80.36780089,46.0
231,set008-2-26-2020-A4_231.txt,T1,A-4,A,4,8,0.2724320616726497,1430.75,382.63470000000376,0.0,1430.75,0.5128522218518241,2789.7899999999986,0.3854601226993607,2020-02-26,10:57:00,11:31:00,2040.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.039,N,25.2565615,-80.3108042,
307,set008-2-26-2020-A4_307.txt,T1,A-4,A,4,8,0.29401744018727033,6350.09,1634.208300000061,0.0,6349.3,0.9434670660373012,6730.59,1.3962222222222134,2020-02-26,9:05:00,10:55:00,6600.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,,0.028999999999999998,N,24.96424,-80.5673321,
308,set008-2-26-2020-A4_308.txt,T1,A-4,A,4,8,0.37402898967292497,175.97000000000114,64.08660000000013,165.70000000000073,165.70000000000073,0.0797431470378986,2206.709999999999,0.9105797101418548,2020-02-26,13:39:00,14:11:00,1920.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.07200000000000001,N,24.96424,-80.5673321,2.0
344,set008-2-26-2020-A4_344.txt,T1,A-4,A,4,8,0.21117019426809625,13.439999999998689,2.5132,0.0,13.439999999998689,0.006857597697805823,1959.869999999999,0.3854601226991456,2020-02-26,14:47:00,15:18:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.04,N,25.1755702,-80.36780089,
421,set008-2-26-2020-A4_421.txt,T1,A-4,A,4,8,0.3676883607332953,494.75,161.4730999999995,63.02999999999884,416.2400000000016,0.2359761710570873,2096.6100000000006,1.3658695652199837,2020-02-26,15:20:00,15:53:00,1980.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.044000000000000004,N,25.1820931,-80.36319379999999,
95,set008-2-26-2020-A4_95.txt,T1,A-4,A,4,8,0.3184120736899523,57.21000000000277,16.964099999999995,0.0,24.280000000000648,0.008400153290684474,6810.59,0.6220792079206576,2020-02-26,11:43:00,12:15:00,1920.0,M,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.049,N,25.286747000000002,-80.290592,
309,set008-2-26-2020-B1_309.txt,T1,B-1,B,1,8,0.3112201490951717,23760.2,7282.625300001202,0.0,18680.53,0.9705682555775548,24480.710000000006,0.4456028368794786,2020-02-26,9:42:00,16:30:00,24480.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,,0.035,N,24.96424,-80.5673321,
437,set008-2-26-2020-B1_437.txt,T1,B-1,B,1,8,0.2912527686083913,50.83,16.964099999999995,0.0,29.08,0.022538321353984224,2255.27,0.3324338624338623,2020-02-26,9:05:00,09:35:00,1800.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.046,N,25.273488500000003,-80.3040957,
105,set008-2-26-2020-B2_105.txt,T1,B-2,B,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2782.910000000001,0.0,2020-02-26,10:58:00,11:31:00,1980.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,,0.044000000000000004,N,24.9735748,-80.5539224,
