ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
114,set001-2-17-2020-A2_114.txt,T1,A-2,A,2,01,0.21096255116712143,0,1.8849,0,0,0,2012.0299999999988,0.18211594202913914
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,01,0.3059762721977097,6101.220000000001,1818.3002000000847,0,6101.220000000001,0.9683815231658799,6300.429999999997,0.4833076923066103
37,set001-2-17-2020-A2_37.txt,T1,A-2,A,2,01,0,0,1.2566,0,0,0,1977.1100000000006,0
423,set001-2-17-2020-A2_423.txt,T1,A-2,A,2,01,0.2743954190145851,574.4700000000012,11.309399999999998,0,541.5400000000009,0.2915573375288657,1970.3500000000022,0.3652906976741713
426,set001-2-17-2020-A2_426.txt,T1,A-2,A,2,01,0.4161350715322705,8.809999999997672,7.539600000000001,0,7.520000000000437,0.00396120625699626,2224.0699999999997,0.5066935483879292
427,set001-2-17-2020-A2_427.txt,T1,A-2,A,2,01,0.2673379490900757,4357.76,1009.049799999983,0,4319.51,0.6781925282660629,6425.549999999999,0.4619852941174493
435,set001-2-17-2020-A2_435.txt,T1,A-2,A,2,01,0.4007915114493863,12023.900000000001,4450.877199999812,112.40999999999987,11883.990000000002,0.9495308769887681,12662.99,0.6477319587628874
143,set001-2-17-2020-A3_143.txt,T1,A-3,A,3,01,0.36125166580470763,38.470000000000255,14.450899999999995,0,38.470000000000255,0.016471212841295026,2335.59,0.40019108280250604
275,set001-2-17-2020-A3_275.txt,T1,A-3,A,3,01,0.2903299378167978,29884.91,8521.00460000181,0,29884.91,0.9555456506634802,31275.230000000003,0.41065359477131014
133,set001-2-17-2020-A4_133.txt,T1,A-4,A,4,01,0.32788237641666296,157.67999999999665,27.016899999999985,0,50.780000000002474,0.07706029254370159,2046.1899999999987,0.46540740740665487
138,set001-2-17-2020-A4_138.txt,T1,A-4,A,4,01,0,0,0,0,0,0,2188.709999999999,0
153,set001-2-17-2020-A4_153.txt,T1,A-4,A,4,01,0,0,0.6283,0,0,0,2016.1499999999996,0
