ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
313,,,M,Plantation Key,Founder's,K. elegans,N,,0.817377985,
287,,,M,Leesburg,Vet's Park,K. elegans,N,,0.844493692,
143,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.75278059,
294,,,M,Leesburg,Vet's Park,K. elegans,N,,0.088989554,
4,,,M,Plantation Key,Founder's,C. corindum,N,,0.937448219,
43,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.547380606,
395,,,M,Leesburg,Vet's Park,K. elegans,N,,0.153129879,
229,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.183940898,
116,,,M,Key Largo,JP Grove,C. corindum,N,,0.605779226,
65,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.430246782,
222,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.769580645,
34,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.636089744,
355,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.666668756,
392,,,M,Leesburg,Vet's Park,K. elegans,N,,0.979723604,
326,,,M,Plantation Key,Founder's,K. elegans,N,,0.821505213,
315,,,M,Plantation Key,Founder's,K. elegans,N,,0.242215036,
263,,,F,Lake Place,Sheriff's,K. elegans,N,,0.39243543,
342,,,M,Plantation Key,Founder's,K. elegans,N,,0.181977366,
182,,,F,Leesburg,Vet's Park,K. elegans,N,,0.13944758,
45,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.498323957,
124,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.91072493,
369,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.058201137,
183,,,M,Leesburg,Vet's Park,K. elegans,N,,0.451249191,
207,,,M,Plantation Key,Founder's,C. corindum,N,,0.266351361,
193,,,M,Leesburg,Vet's Park,K. elegans,N,,0.939255997,
126,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.398428103,
26,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.324356316,
341,,,M,Plantation Key,Founder's,K. elegans,N,,0.684913316,
361,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.598307321,
220,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.404251657,
362,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.499582967,
9,,,F,Plantation Key,Founder's,C. corindum,N,,0.947618139,
149,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.000719251,
232,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.318671031,
190,,,M,Leesburg,Vet's Park,K. elegans,N,,0.244649426,
284,,,M,Leesburg,Vet's Park,K. elegans,N,,0.240340914,
226,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.05635247,
127,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.499023999,
295,,,M,Leesburg,Vet's Park,K. elegans,N,,0.236624762,
394,,,M,Leesburg,Vet's Park,K. elegans,N,,0.35097067,
285,,,M,Leesburg,Vet's Park,K. elegans,N,,0.421107156,
147,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.284884589,
302,,,M,Plantation Key,Founder's,K. elegans,N,,0.989821338,
215,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.630101509,
