pophost,population,sex,beak,thorax,wing,body,month,year,months_since_start,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_recorded,site
K. bipinnata,Ft. Lauderdale,F,7.14,3.19,8.67,12.25,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,6.19,3.36,9.08,12.19,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.78,2.98,8.01,11.10,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.45,2.78,4.82,7.95,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.22,3.64,9.98,13.69,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.44,2.76,6.91,9.91,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.53,3.25,8.52,11.86,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.77,3.20,8.40,11.49,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.72,3.45,8.78,11.53,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,6.10,2.60,5.78,8.61,8,2017,,fall,LS,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.10,2.97,8.06,11.57,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.37,3.34,8.45,11.85,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.22,2.50,4.93,7.72,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,6.08,2.77,7.60,10.77,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.45,3.46,9.31,12.28,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.46,2.99,7.45,10.21,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.92,3.57,9.64,13.21,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.12,3.45,9.17,12.20,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end; teal marked ,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.37,3.48,9.35,12.88,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,NA,3.10,8.31,11.45,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,beak missing,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.58,3.03,8.01,11.02,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,7.12,2.93,5.58,8.88,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.16,3.45,9.20,12.72,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.21,2.57,6.15,9.21,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.73,2.92,5.42,8.51,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.46,2.91,7.68,10.76,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.42,2.87,7.12,10.10,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.58,2.77,7.64,10.42,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end; teal marked ,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.04,3.07,5.58,8.87,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.82,3.10,8.55,11.56,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.75,3.02,8.06,11.03,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.56,3.19,7.93,10.95,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.94,2.73,5.51,8.48,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.19,2.65,6.66,9.41,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,6.40,2.80,4.73,7.96,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.86,3.07,8.11,10.98,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.65,2.85,7.98,11.04,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.94,3.07,8.29,11.39,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.63,3.01,8.01,11.04,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.17,2.50,7.05,9.72,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.48,2.56,7.37,9.86,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end; teal marked ,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.56,3.06,8.55,11.71,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.85,3.41,8.57,12.00,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.94,3.11,7.56,10.79,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.94,3.08,7.96,10.92,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.58,3.07,8.16,11.21,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.82,3.61,9.88,13.31,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.36,3.34,7.16,10.52,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,7.08,3.20,8.31,11.83,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,6.76,3.02,7.93,11.17,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.91,3.03,8.17,11.17,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.59,2.65,6.47,9.14,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.62,2.58,6.29,9.10,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.13,3.34,8.70,12.16,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,teal marked,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.72,2.90,7.69,10.69,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.53,2.49,5.12,7.81,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,8.51,3.83,10.36,13.87,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,F,6.86,2.92,7.51,10.85,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.37,2.97,8.48,11.66,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.75,3.12,8.07,11.19,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.54,2.50,4.33,7.25,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.68,2.76,6.91,9.68,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.21,2.88,7.22,10.39,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,wings torn at end,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.69,2.87,7.69,10.62,8,2017,,fall,L,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. bipinnata,Ft. Lauderdale,M,5.26,2.64,5.11,8.11,8,2017,,fall,S,26.1883246,-80.17189020,non-diapausing,08.13.2017,,06.05.2020,06.05.2020,
K. elegans ,Homestead,M,5.80,3.21,8.46,11.62,8,2017,,fall,L,25.9415734,-80.48568697,non-diapausing,08.15.2017,teal marked,06.05.2020,06.05.2020,
K. elegans ,Homestead,F,7.05,3.04,6.30,9.60,8,2017,,fall,S,25.9415734,-80.48568697,non-diapausing,08.15.2017,teal marked,06.05.2020,06.05.2020,
K. elegans ,Homestead,F,7.39,3.46,9.09,12.39,8,2017,,fall,L,25.9415734,-80.48568697,non-diapausing,08.15.2017,teal marked,06.05.2020,06.05.2020,
K. elegans ,Homestead,M,6.02,3.24,8.55,11.33,8,2017,,fall,L,25.9415734,-80.48568697,non-diapausing,08.15.2017,,06.05.2020,06.05.2020,
K. elegans ,Homestead,F,6.39,2.96,4.93,8.04,8,2017,,fall,S,25.9415734,-80.48568697,non-diapausing,08.15.2017,teal marked,06.05.2020,06.05.2020,
K. elegans ,Homestead,F,7.83,3.43,9.25,12.60,8,2017,,fall,L,25.9415734,-80.48568697,non-diapausing,08.15.2017,,06.05.2020,06.05.2020,
K. elegans ,Homestead,F,8.89,3.90,9.99,13.76,8,2017,,fall,L,25.9415734,-80.48568697,non-diapausing,08.15.2017,,06.05.2020,06.05.2020,
