ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
264,,C-4,001,8.16.21,16:03,16:35,28/28,70,Lake Place,N,,264,0.033,N,,
340,,D-1,001,8.16.21,16:03,16:36,28/28,70,Plantation Key,Y,B,340,0.055,N,,
358,,D-2,001,8.16.21,16:04,16:36,28/28,70,Homestead,N,,358,0.057,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
110,,C-1,002,8.17.21,8:42,10:39,28/28,70,Plantation Key,Y,BC,110,0.064,N,,
103,,C-2,002,8.17.21,8:43,9:19,28/28,70,Plantation Key,N,,103,0.076,N,,
204,,C-3,002,8.17.21,8:43,9:39,28/28,70,Plantation Key,Y,BC,204,0.067,N,,
216,,C-4,002,8.17.21,8:45,9:19,28/28,70,Homstead,Y,B,216,0.045,N,,
88,,,,,,,28/28,70,Leesburg,,,88,,,not prepped,
193,,D-1,002,8.17.21,8:45,9:20,28/28,70,Leesburg,Y,B,193,0.043,N,,
70,,D-2,002,8.17.21,8:47,9:20,28/28,70,Lake Wales,Y,B,70,0.054,N,,
178,,D-3,002,8.17.21,8:48,9:19,28/28,70,Leesburg,Y,CB,178,0.031,N,,
201,,D-4,002,8.17.21,8:48,9:21,28/28,70,Plantation Key,Y,B,201,0.067,N,,
319,,C-2,002,8.17.21,9:22,9:58,28/28,70,Plantation Key,Y,B,319,0.048,N,,
349,,C-4,002,8.17.21,9:23,14:51,28/28,70,Homestead,Y,CB,349,0.049,N,placed Event marker 1 min late,
75,,D-1,002,8.17.21,9:25,10:01,28/28,70,Lake Wales,Y,B,75,0.061,N,,
380,,D-2,002,8.17.21,9:26,10:01,28/28,70,Leesburg,N,,380,0.038,N,,
74,,D-3,002,8.17.21,9:28,10:01,28/28,70,Lake Wales,Y,B,74,0.057,N,,
151,,D-4,002,8.17.21,9:29,10:01,28/28,70,Lake Placid,Y,B,151,0.044,N,,
