ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
59,Y,,,,,,28/28,70,Lake Placid,,,59,,,,
72,,D-1,005,8.23.21,11:40,12:14,28/28,70,Lake Wales,N,,72,0.044,,,
21,Y,,,,,,28/28,70,North Key Largo,,,21,,,,
102,,,005,8.23.21,11:41,12:14,28/28,70,Plantation Key,,,102,,,paint fell off,
65,,D-2,005,8.23.21,11:42,12:15,28/28,70,Lake Placid,N,,65,0.063,,,
267,,D-3,005,8.23.21,14:15,14:56,28/28,70,Lake Wales,N,,267,0.043,,,
27,,C-1,005,8.23.21,14:16,14:57,28/28,70,Homstead,Y,C,27,0.037,,,
57,,C-2,,,,,28/28,70,Lake Placid,N,,57,0.078,,,
261,Y,,,,,,28/28,70,Lake Place,,,261,,,,
244,,C-3,005,8.23.21,14:17,8:00,28/28,70,Lake Place,Y,C,244,0.034,,,Y
171,,C-4,005,8.23.21,14:18,14:57,28/28,70,Lake Wales,N,,171,0.062,,,
352,,D-1,005,8.23.21,14:19,8:00,28/28,70,Homestead,Y,C,352,0.056,,,
395,,D-2,005,8.23.21,14:19,14:58,28/28,70,Leesburg,Y,C,395,0.040,,,
235,,D-3,005,8.23.21,14:20,14:58,28/28,70,Homstead,N,,235,0.038,,,
69,,D-4,005,8.23.21,14:21,14:58,28/28,70,Lake Wales,N,,69,0.030,,,
165,Y,,,,,,28/28,70,Lake Placid,,,165,,,,
105,,C-1,005,8.23.21,15:00,15:37,28/28,70,Plantation Key,Y,B,105,0.039,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
250,,C-2,005,8.23.21,15:01,15:37,28/28,70,Lake Place,N,,250,0.034,N,,
191,,C-4,005,8.23.21,13:02,16:53,28/28,70,Leesburg,Y,C,191,0.081,N,,
271,Y,,,,,,28/28,70,Lake Wales,,,271,,,,
287,,D-2,005,8.23.21,15:03,15:38,28/28,70,Leesburg,Y,CB,287,0.030,N,,
371,,D-3,005,8.23.21,15:04,8:00,28/28,70,Lake Placid,Y,C,371,0.051,N,,Y
296,Y,,,,,,28/28,70,Leesburg,,,296,,,,
387,,D-4,005,8.23.21,15:04,15:38,28/28,70,Leesburg,N,,387,0.065,Y,,
396,,C-1,005,8.23.21,15:40,16:16,28/28,70,Leesburg,Y,B,396,0.040,N,,
364,Y,,,,,,28/28,70,Lake Placid,,,364,,,,
149,,C-2,005,8.23.21,15:40,16:16,28/28,70,Lake Placid,Y,B,149,0.053,N,,
381,,D-2,005,8.23.21,15:42,8:00,28/28,70,Leesburg,Y,CBC,381,0.034,N,wiring problem,Y
357,Y,,,,,,28/28,70,Homestead,,,357,,,,
302,,D-4,005,8.23.21,15:43,8:00,28/28,70,Plantation Key,Y,C,302,0.054,N,,Y
49,,,,,,,28/28,70,Lake Placid,,,49,,,paint fell off,
94,Y,,,,,,28/28,70,Gainesville,,,94,,,,
176,,C-1,005,8.23.21,16:18,16:52,28/28,70,Leesburg,N,,176,0.050,N,,
188,,C-2,005,8.23.21,16:20,16:52,28/28,70,Leesburg,Y,B,188,0.062,N,,
290,,C-1,006,8.24.21,8:56,9:32,28/28,70,Leesburg,N,,290,0.033,N,,
138,,C-2,006,8.24.21,8:57,10:46,28/28,70,Homestead,Y,C,138,0.056,N,,
123,Y,,,,,,28/28,70,Homestead,,,123,,,,
308,,C-3,006,8.24.21,8:58,9:32,28/28,70,Plantation Key,N,,308,0.026,N,,
307,,C-4,006,8.24.21,8:59,14:40,28/28,70,Plantation Key,Y,C,307,0.034,N,escaped,
50,,D-1,006,8.24.21,9:00,9:32,28/28,70,Lake Placid,Y,B,50,0.029,N,,
334,,D-2,006,8.24.21,9:01,11:35,28/28,70,Plantation Key,Y,C,334,0.043,N,inserted ID 3 times in file,
400,Y,,,,,,28/28,70,Leesburg,,,400,,,,
342,,D-3,006,8.24.21,9:02,9:33,28/28,70,Plantation Key,Y,B,342,0.034,N,,
6,Y,,,,,,28/28,70,Plantation Key,,,6,,,,
120,,D-4,006,8.24.21,9:03,9:33,28/28,70,Key Largo,Y,B,120,0.045,N,,
128,,C-1,006,8.24.21,9:35,10:10,28/28,70,Homestead,Y,B,128,0.030,N,,
350,,C-3,006,8.24.21,9:36,14:38,28/28,70,Homestead,Y,C,350,0.051,N,,
104,,D-1,006,8.24.21,9:37,10:10,28/28,70,Plantation Key,Y,B,104,0.082,N,,
113,,D-3,006,8.24.21,9:38,10:10,28/28,70,Key Largo,Y,B,113,0.032,N,,
42,,D-4,006,8.24.21,9:39,11:00,28/28,70,Homestead,Y,C,42,0.034,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
17,Y,,,,,,28/28,70,Key Largo,,,17,,,,
137,,C-1,006,8.24.21,10:11,10:44,28/28,70,Homestead,Y,B,137,,,,
2,,D-1,006,8.24.21,10:12,10:44,28/28,70,Plantation Key,N,,2,,,,
109,,D-3,006,8.24.21,10:13,10:44,28/28,70,Plantation Key,Y,B,109,,,,
230,,C-1,006,8.24.21,10:46,11:19,28/28,70,Homstead,Y,B,230,,,,
108,,C-2,006,8.24.21,10:47,11:19,28/28,70,Plantation Key,N,,108,,,,
185,Y,,,,,,28/28,70,Leesburg,,,185,,,,
98,Y,,,,,,28/28,70,Gainesville,,,98,,,,
147,,D-1,006,8.24.21,10:48,11:19,28/28,70,Lake Placid,N,,147,,,short-winged,
270,Y,,,,,,28/28,70,Lake Wales,,,270,,,,
221,,D-3,006,8.24.21,10:49,11:19,28/28,70,Homstead,N,,221,,,,
385,,C-1,006,8.24.21,11:21,11:55,28/28,70,Leesburg,Y,B,385,,,,
368,Y,,,,,,28/28,70,Lake Placid,,,368,,,,
223,Y,,,,,,28/28,70,Homstead,,,223,,,,
214,,C-2,006,8.24.21,11:22,11:55,28/28,70,Homstead,Y,B,214,,,,
328,,D-1,006,8.24.21,11:23,12:10,28/28,70,Plantation Key,Y,C,328,,,,
99,Y,,,,,,28/28,70,Gainesville,,,99,,,,
329,,D-3,006,8.24.21,11:24,11:55,28/28,70,Plantation Key,N,,329,,,,
330,Y,,,,,,28/28,70,Plantation Key,,,330,,,,
19,Y,,,,,,28/28,70,Key Largo,,,19,,,,
276,,D-4,006,8.24.21,11:25,11:55,28/28,70,Lake Wales,N,,276,,,,
309,,C-1,006,8.24.21,11:56,12:30,28/28,70,Plantation Key,Y,B,309,,,,
325,,C-2,006,8.24.21,11:57,8:00,28/28,70,Plantation Key,Y,C,325,,,,Y
203,Y,,,,,,28/28,70,Plantation Key,,,203,,,,
168,,D-2,006,8.24.21,11:58,12:30,28/28,70,Lake Wales,N,,168,,,,
87,Y,,,,,,28/28,70,Leesburg,,,87,,,,
219,Y,,,,,,28/28,70,Homstead,,,219,,,,
212,,D-3,006,8.24.21,11:59,12:30,28/28,70,Homstead,N,,212,,,,
153,,D-4,006,8.24.21,12:00,12:30,28/28,70,Lake Placid,Y,B,153,,,,
363,,C-1,006,8.24.21,12:31,1:05,28/28,70,Lake Placid,N,,363,,,,
67,,D-1,006,8.24.21,12:32,1:05,28/28,70,Lake Wales,N,,67,,,,
102,,D-2,006,8.24.21,12:33,12:45,28/28,70,Plantation Key,Y,?,102,,,escaped,
49,,D-3,006,8.24.21,12:34,1:05,28/28,70,Lake Placid,N,,49,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
374,,D-4,006,8.24.21,12:35,8:00,28/28,70,Lake Placid,Y,C,374,0.037,N,,Y
234,,C-1,007,8.26.21,8:40,9:19,28/28,70,Homstead,Y,B,234,0.038,N,,
281,,C-2,007,8.26.21,8:41,9:19,28/28,70,Leesburg,N,,281,0.050,N,wing torn,
243,Y,,,,,,28/28,70,Lake Place,,,243,,,,
272,Y,,,,,,28/28,70,Lake Wales,,,272,,,,
18,Y,,,,,,28/28,70,Key Largo,,,18,,,,
206,,C-3,007,8.26.21,8:42,11:27,28/28,70,Plantation Key,Y,C,206,0.080,N,C-4 not working,
211,,D-1,007,8.26.21,8:43,9:20,28/28,70,Key Largo,N,,211,0.074,Y,,
386,Y,,,,,,28/28,70,Leesburg,,,386,,,,
127,,D-2,007,8.26.21,8:44,9:20,28/28,70,Homestead,N,,127,0.055,N,,
265,Y,,,,,,28/28,70,Lake Place,,,265,,,,
163,Y,,,,,,28/28,70,Lake Placid,,,163,,,,
23,,D-3,007,8.26.21,8:45,9:20,28/28,70,Homstead,Y,B,23,0.050,N,,
237,,D-4,007,8.26.21,8:46,9:20,28/28,70,Homstead,Y,B,237,0.048,N,,
146,Y,,,,,,28/28,70,Lake Placid,,,146,,,,
220,,C-1,007,8.26.21,9:23,8:30,28/28,70,Homstead,Y,C,220,0.038,N,,
160,,C-2,007,8.26.21,9:24,8:30,28/28,70,Lake Placid,Y,C,160,0.089,Y,,
300,,D-1,007,8.26.21,9:25,9:58,28/28,70,Leesburg,N,,300,0.084,N,,
189,Y,,,,,,28/28,70,Leesburg,,,189,,,,
294,,D-2,007,8.26.21,9:26,9:58,28/28,70,Leesburg,Y,B,294,0.029,N,,
25,,D-3,007,8.26.21,9:27,9:58,28/28,70,Homstead,Y,B,25,0.106,N,,
148,,D-4,007,8.26.21,9:28,11:09,28/28,70,Lake Placid,Y,C,148,0.092,Y,,
183,,D-1,007,8.26.21,9:59,10:30,28/28,70,Leesburg,Y,B,183,0.048,N,,
354,,D-2,007,8.26.21,10:00,10:30,28/28,70,Homestead,Y,B,354,0.043,N,,
266,Y,,,,,,28/28,70,Lake Wales,,,266,,,,
44,Y,,,,,,28/28,70,Homstead,,,44,,,,
152,Y,,,,,,28/28,70,Lake Placid,,,152,,,,
305,,D-3,007,8.26.21,10:01,11:19,28/28,70,Plantation Key,Y,C,305,0.040,N,,
291,Y,,,,,,28/28,70,Leesburg,,,291,,,,
297,Y,,,,,,28/28,70,Leesburg,,,297,,,,
134,,D-1,007,8.26.21,10:30,11:04,28/28,70,Homestead,Y,B,134,0.046,N,,
118,Y,,,,,,28/28,70,Key Largo,,,118,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
166,,D-2,007,8.26.21,10:33,11:04,28/28,70,Lake Wales,N,,166,0.053,N,,
331,,D-1,007,8.26.21,11:06,11:42,28/28,70,Plantation Key,N,,331,0.039,N,,
252,Y,,,,,,28/28,70,Lake Place,,,252,,,,
260,,D-2,007,8.26.21,11:07,11:42,28/28,70,Lake Place,Y,B,260,0.045,N,,
369,,D-4,007,8.26.21,11:09,11:42,28/28,70,Lake Placid,Y,B,369,0.048,N,wing torn,
241,,C-3,007,8.26.21,11:44,12:19,28/28,70,Lake Place,N,,241,0.041,N,,
80,Y,,,,,,28/28,70,Lake Wales,,,80,,,,
318,,D-1,007,8.26.21,11:45,12:19,28/28,70,Plantation Key,Y,B,318,0.059,N,,
366,Y,,,,,,28/28,70,Lake Placid,,,366,,,,
242,Y,,,,,,28/28,70,Lake Place,,,242,,,,
317,,D-2,007,8.26.21,11:46,12:19,28/28,70,Plantation Key,Y,C,317,0.108,Y,,
390,Y,,,,,,28/28,70,Leesburg,,,390,,,,
167,Y,,,,,,28/28,70,Lake Wales,,,167,,,,
173,,D-2,007,8.26.21,11:47,12:20,28/28,70,Lake Wales,N,,173,0.035,N,,
279,Y,,,,,,28/28,70,Lake Wales,,,279,,,,
239,,D-4,007,8.26.21,11:48,12:20,28/28,70,Homstead,Y,B,239,0.039,N,,
45,,C-3,007,8.26.21,12:21,1:01,28/28,70,Homestead,Y,C,45,0.047,N,,
306,,D-1,007,8.26.21,21:22,14:21,28/28,70,Plantation Key,Y,BC,306,0.048,N,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,28/28,70,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
