"ID","died","date_died","sex","population","site","host_plant","S_wing","notes"
84,"Y","8.26.21","F","Leesburg","Vet's Park","K. elegans","N",NA
85,"Y","9.16.21","M","Leesburg","Vet's Park","K. elegans","N",NA
86,"Y","8.26.21","F","Leesburg","Vet's Park","K. elegans","N",NA
87,"Y","8.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
88,"Y","8.29.21","F","Leesburg","Vet's Park","K. elegans","N",NA
89,"Y","9.11.21","F","Leesburg","Vet's Park","K. elegans","N","death date assumption"
90,"Y","8.29.21","F","Leesburg","Vet's Park","K. elegans","N",NA
91,"Y","8.16.21","F","Gainesville","8th Ave","K. elegans","N",NA
92,"Y","8.20.21","F","Gainesville","8th Ave","K. elegans","N",NA
93,"Y","8.15.21","F","Gainesville","8th Ave","K. elegans","N",NA
94,"Y","8.18.21","F","Gainesville","8th Ave","K. elegans","N",NA
95,"Y","8.16.21","M","Gainesville","8th Ave","K. elegans","N",NA
96,"Y","9.7.21","M","Gainesville","8th Ave","K. elegans","N","death date assumption"
97,"Y","8.25.21","M","Gainesville","8th Ave","K. elegans","N",NA
98,"Y","8.15.21","M","Gainesville","8th Ave","K. elegans","N",NA
99,"Y","8.15.21","M","Gainesville","8th Ave","K. elegans","N",NA
100,"Y","8.16.21","M","Gainesville","8th Ave","K. elegans","N",NA
101,"Y","9.24.21","M","Plantation Key","Founder's","C. corindum","N",NA
102,"Y","9.8.21","F","Plantation Key","Founder's","C. corindum","N",NA
103,"Y","9.11.21","F","Plantation Key","Founder's","C. corindum","N",NA
104,"Y","9.24.21","F","Plantation Key","Founder's","C. corindum","N",NA
105,"Y","9.11.21","M","Plantation Key","Founder's","C. corindum","N",NA
106,"Y","9.8.21","M","Plantation Key","Founder's","C. corindum","N",NA
107,"Y","9.8.21","M","Plantation Key","Founder's","C. corindum","N",NA
108,"Y","9.11.21","M","Plantation Key","Founder's","C. corindum","N",NA
109,"Y","9.01.21","F","Plantation Key","Founder's","C. corindum","N",NA
110,"Y","9.01.21","F","Plantation Key","Founder's","C. corindum","N",NA
111,"Y","8.19.21","F","Key Largo","JP Grove","C. corindum","N",NA
112,"Y","9.24.21","M","Key Largo","JP Grove","C. corindum","N",NA
113,"Y","9.8.21","M","Key Largo","JP Grove","C. corindum","N",NA
114,"Y","9.01.21","F","Key Largo","JP Grove","C. corindum","N",NA
115,"Y","8.16.21","M","Key Largo","JP Grove","C. corindum","N",NA
116,"Y","9.7.21","M","Key Largo","JP Grove","C. corindum","N","death date assumption"
117,"Y","9.24.21","M","Key Largo","JP Grove","C. corindum","N",NA
118,"Y","8.26.21","F","Key Largo","JP Grove","C. corindum","N",NA
119,"Y","8.30.21","F","Key Largo","JP Grove","C. corindum","N",NA
120,"Y","9.7.21","M","Key Largo","JP Grove","C. corindum","N",NA
121,"Y","9.13.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
122,"Y","8.29.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
