average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num
0,0,0,0,0,0,3600.0,0,1
0,0,0,0,0,0,3600.0,0,2
0.24332176544834283,3596.1000000000004,840.0370999999917,0,3596.1000000000004,0.9989166666666668,3600.0,0.39268750000000135,3
0,0,0,0,0,0,3600.0,0,4
