ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
45,set005-2-21-2020-A2_45.txt,T1,A-2,A,2,5,0.5484131241545210,27.71999999999930,11.309400000000000,0.0,21.329999999999900,0.0027158391619695700,10206.79,1.3962222222199600,2020-02-21,10:50:00,11:20:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,PAINT: paint fell off between 20-30 min into the trial,0.031,N,25.491362,-80.485821,,5.06,2.75,7.68,10.18,L,wings torn at the end,yes
86,set005-2-21-2020-A2_86.txt,T1,A-2,A,2,5,0.0,0.0,0.0,0.0,0.0,0.0,2238.99,0.0,2020-02-21,9:04:00,09:39:00,2100.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.033,N,29.66200224,-82.347313,,5.18,3.05,8.23,11.06,L,,yes
102,set005-2-21-2020-A3_102.txt,T1,A-3,A,3,5,0.3871845199854660,24.61999999999990,10.6811,0.0,13.36999999999990,0.011199919935584500,2198.23,0.4456028368794790,2020-02-21,9:05:00,09:39:00,2040.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,B,,0.043,N,24.9735748,-80.5539224,,5.69,3.11,8.41,11.6,L,,yes
126,set005-2-21-2020-A3_126.txt,T1,A-3,A,3,5,0.10004777070063700,0.0,5.6547,0.0,0.0,0.0,2200.75,0.0,2020-02-21,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.07400000000000000,Y,25.2565615,-80.3108042,31.0,8.97,3.78,10.05,13.61,L,wings torn at the end,yes
6,set005-2-21-2020-A3_6.txt,T1,A-3,A,3,5,0.28970105190675800,5277.8900000000000,1507.9200000000400,0.0,5277.8900000000000,0.9592692825686700,5501.99,0.3652906976743650,2020-02-21,9:41:00,11:14:00,5580.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,DATA COL: time_end from windaq file,0.042,N,24.96424,-80.5673321,,5.76,3.04,8.03,11.0,L,,yes
271,set005-2-21-2020-A4_271.txt,T1,A-4,A,4,5,0.3667403645039370,12233.14,4345.95109999976,0.0,12233.14,0.985955950445662,12407.39,1.1423636363613700,2020-02-21,9:06:00,12:34:00,12480.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.05,N,27.896740300000000,-81.58046540000000,34.0,7.59,3.31,9.21,12.82,L,,yes
393,set005-2-21-2020-A4_393.txt,T1,A-4,A,4,5,0.0,0.0,0.0,0.0,0.0,0.0,2293.59,0.0,2020-02-21,8:28:00,09:00:00,1920.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.1,Y,24.96424,-80.5673321,29.0,7.51,3.55,9.04,12.63,LS,,yes
226,set005-2-21-2020-B1_226.txt,T1,B-1,B,1,5,0.0,0.0,1.2566,0.0,0.0,0.0,2426.91,0.0,2020-02-21,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.057,N,25.19515,-80.345916,,6.6,2.78,7.29,10.45,LS,,yes
351,set005-2-21-2020-B1_351.txt,T1,B-1,B,1,5,0.4305128579848480,12377.82,4558.3164999998600,0.0,11064.45,0.9801550944970990,12628.430000000000,0.6904395604389810,2020-02-21,9:42:00,13:13:00,12660.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,BC,,0.034,N,25.1820931,-80.36319380000000,,6.16,3.01,7.88,10.9,L,,yes
5,set005-2-21-2020-B1_5.txt,T1,B-1,B,1,5,0.0,0.0,0.0,0.0,0.0,0.0,2079.15,0.0,2020-02-21,9:07:00,09:39:00,1920.0,F,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,DATA COL: did not fly from the windaq file,0.087,Y,24.9735748,-80.5539224,209.0,7.47,3.32,8.33,11.89,L,,yes
