pophost,population,sex,beak,thorax,wing,body,month,year,months_since_start,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_recorded,site
C. corindum,North Key Largo,M,5.33,2.95,7.70,10.75,2,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,M,5.97,2.92,8.10,10.84,2,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,F,7.71,3.47,8.42,11.78,2,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,F,8.23,3.76,9.40,13.00,2,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,M,6.06,2.83,5.88,8.77,2,2020,81,winter,S,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,F,8.59,3.68,9.92,13.59,2,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,02.03.2020,,04.30.2020,06.01.2020,DD Front
C. corindum,North Key Largo,M,5.18,2.60,5.45,8.60,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,M,5.50,3.02,8.18,11.11,2,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,M,5.51,2.66,5.05,7.74,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,M,5.64,2.90,4.80,7.98,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,F,6.88,3.23,5.25,9.09,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,M,5.50,2.75,5.56,8.52,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,F,8.79,3.65,9.15,12.49,2,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
C. corindum,North Key Largo,F,6.14,2.82,4.19,7.63,2,2020,81,winter,S,25.1820931,-80.3631938,non-diapausing,02.05.2020,,04.30.2020,06.01.2020,N. Dagny
